tag,name,ideaset,idea_key,superregion,region,formable
PIR,Pirates,Piratical Ideas,pirate_ideas,,,no
NAT,Natives,Native Ideas,native_ideas,,,no
SWE,Sweden,Swedish Ideas,SWE_ideas,Western Europe,Scandinavia,no
DAN,Denmark,Danish Ideas,DAN_ideas,Western Europe,Scandinavia,yes
FIN,Finland,Finnish Ideas,FIN_ideas,Western Europe,Scandinavia,no
GOT,Gotland,Gutnish Ideas,GOT_ideas,Western Europe,Scandinavia,no
NOR,Norway,Norwegian Ideas,NOR_ideas,Western Europe,Scandinavia,no
SHL,Holstein,Holstein Ideas,SHL_ideas,Western Europe,North Germany,no
SCA,Scandinavia,Scandinavian Ideas,SCA_ideas,Western Europe,Scandinavia,yes
EST,Estonia,Estonian Ideas,EST_ideas,Eastern Europe,Baltic,no
LVA,Livonia,Livonian Ideas,LVA_ideas,Eastern Europe,Baltic,yes
LTG,Latgalia,Latgalian Ideas,LTG_ideas,Eastern Europe,Baltic,no
SMI,Sápmi,Sami Ideas,SMI_ideas,Western Europe,Scandinavia,no
KRL,Karelia,Karelian Ideas,KRL_ideas,Eastern Europe,Russia,no
ICE,Iceland,Icelandic Ideas,ICE_ideas,Western Europe,Scandinavia,yes
ACH,Achaea,Greek Ideas,greek_ideas,Eastern Europe,Balkans,no
ALB,Albania,Albanian Ideas,ALB_ideas,Eastern Europe,Balkans,no
ATH,Athens,Athenian Ideas,ATH_ideas,Eastern Europe,Balkans,no
BOS,Bosnia,Bosnian Ideas,BOS_ideas,Eastern Europe,Balkans,no
BUL,Bulgaria,Bulgarian Ideas,BUL_ideas,Eastern Europe,Balkans,yes
BYZ,Byzantium,Byzantine Ideas,BYZ_ideas,Eastern Europe,Balkans,yes
LAE,Latin Empire,Latin Ideas,LAE_ideas,Eastern Europe,Balkans,yes
CEP,Corfu,Ionian Ideas,CEP_ideas,Eastern Europe,Balkans,no
CRO,Croatia,Croatian Ideas,CRO_ideas,Eastern Europe,Balkans,yes
