tag,name,ideaset,idea_key,superregion,region,formable
REB,Rebels,,,,,no
ACH,Achaea,,,Eastern Europe,Balkans,no
CRT,Crete,,,Eastern Europe,Balkans,no
MOE,Morea,,,Eastern Europe,Balkans,yes
HSC,Gaeldom,,,Western Europe,Britain,no
LOI,The Isles,,,Western Europe,Britain,no
CHL,Chile,,,Andes,La Plata,yes
COL,Colombia,,,Amazonia,Colombia,yes
HAT,Haiti,,,Central America,Caribbeans,yes
LAP,La Plata,,,Andes,La Plata,yes
LOU,Louisiana,,,North America,Mississippi,yes
PEU,Peru,,,Andes,Peru,yes
PRG,Paraguay,,,Andes,Upper Peru,yes
CAM,United Central America,,,Central America,Central America,yes
VNZ,Venezuela,,,Amazonia,Colombia,yes
CAL,California,,,Central America,California,yes
ILI,Illinois,,,North America,Great Lakes,yes
FLO,Florida,,,North America,Mississippi,yes
CUB,Cuba,,,Central America,Caribbeans,yes
VOL,Galicia–Volhynia,,,Eastern Europe,Ruthenia,no
ALE,Alençon,,,Western Europe,France,no
ALS,Strasbourg,,,Western Europe,South Germany,no
AMG,Armagnac,,,Western Europe,France,no
AUV,Auvergne,,,Western Europe,France,no
AVI,Avignon,,,Western Europe,France,no
BOU,Bourbonnais,,,Western Europe,France,no
CHP,Champagne,,,Western Europe,France,no
DAU,Dauphine,,,Western Europe,France,no
FOI,Foix,,,Western Europe,France,no
GUY,Gascony,,,Western Europe,France,no
PIC,Picardy,,,Western Europe,France,no
TOU,Toulouse,,,Western Europe,France,no
BER,Berry,,,Western Europe,France,no
MAG,Magdeburg,,,Western Europe,North Germany,no
MEI,Meissen,,,Western Europe,North Germany,no
MKL,Mecklenburg,,,Western Europe,North Germany,no
OLD,Oldenburg,,,Western Europe,North Germany,no
SLZ,Salzburg,,,Western Europe,South Germany,no
TIR,Tirol,,,Western Europe,South Germany,no
MEM,Memmingen,,,Western Europe,South Germany,no
NSA,Nassau,,,Western Europe,North Germany,no
AQU,Aquileia,,,Western Europe,Italy,no
ETR,Etruria,,,Western Europe,Italy,no
MOD,Modena,,,Western Europe,Italy,no
PAR,Parma,,,Western Europe,Italy,no
JAI,Malta,,,Western Europe,Italy,no
HAI,Hainaut,,,Western Europe,Low Countries,no
AST,Astrakhan,,,Eastern Europe,Pontic Steppe,no
QAS,Qasim,,,Eastern Europe,Russia,no
NOG,Nogai,,,Tartary,Central Asia,no
SIB,Sibir,,,Tartary,West Siberia,no
BSH,Bashkiria,,,Eastern Europe,Ural,no
GOL,Great Horde,,,Eastern Europe,Pontic Steppe,no
ANZ,Anizah,,,Levant,Arabia,no
ARD,Ardalan,,,Persia,Persia,no
BHT,Soran,,,Persia,Persia,no
DAW,Dawasir,,,Levant,Arabia,no
ERE,Eretna,,,Levant,Anatolia,no
FAD,Fadl,,,Levant,Mashriq,no
GRM,Germiyan,,,Levant,Anatolia,no
LEB,Lebanon,,,Levant,Mashriq,no
MAK,Makuria,,,Levant,Egypt,no
MFL,Mikhlaf,,,Levant,Arabia,no
NJR,Najran,,,Levant,Arabia,no
SHM,Shammar,,,Levant,Arabia,no
SHR,Sharjah,,,Levant,Arabia,no
YAS,Yas,,,Levant,Arabia,no
BTL,Bitlis,,,Levant,Anatolia,no
AYD,Aydin,,,Levant,Anatolia,no
DUL,Dulkadir,,,Levant,Anatolia,no
IRQ,Iraq,,,Levant,Mashriq,no
SYR,Syria,,,Levant,Mashriq,no
SRU,Saruhan,,,Levant,Anatolia,no
MEN,Mentese,,,Levant,Anatolia,no
RAM,Ramazan,,,Levant,Anatolia,no
AVR,Avaria,,,Persia,Caucasia,no
ALG,Algiers,,,Northern Africa,Maghreb,yes
FEZ,Fez,,,Northern Africa,Maghreb,no
TRP,Tripoli,,,Northern Africa,Maghreb,yes
KBA,Kabylia,,,Northern Africa,Maghreb,no
TFL,Tafilalt,,,Northern Africa,Maghreb,no
SOS,Sus,,,Northern Africa,Maghreb,no
TLC,Tlemcen,,,Northern Africa,Maghreb,no
TGT,Touggourt,,,Northern Africa,Maghreb,no
GHD,Djerid,,,Northern Africa,Maghreb,no
FZA,Fezzan,,,Northern Africa,Maghreb,no
MZB,Mzab,,,Northern Africa,Maghreb,no
MRK,Marrakesh,,,Northern Africa,Maghreb,no
KZH,Kazakh,,,Tartary,Central Asia,no
SHY,Uzbek,,,Tartary,West Siberia,no
KOK,Ferghana,,,Tartary,Central Asia,no
KRY,Gilan,,,Persia,Persia,no
GAZ,Gazikumukh,,,Persia,Caucasia,no
TAB,Mazandaran,,,Persia,Persia,no
BPI,Biapas,,,Persia,Persia,no
KRM,Kerman,,,Persia,Persia,no
YZD,Yazd,,,Persia,Persia,no
ISF,Isfahan,,,Persia,Persia,no
TBR,Tabriz,,,Persia,Persia,no
BSR,Basra,,,Levant,Mashriq,no
MGR,Maregheh,,,Persia,Persia,no
ZAP,Zapotec,,,Central America,Mexico,no
NUB,Funj,,,Northern Africa,Horn of Africa,no
SOF,Segu,,,Northern Africa,Niger,no
SFA,Sofala,,,Southern Africa,South Africa,no
MBA,Mombasa,,,Southern Africa,East Africa,no
MLI,Malindi,,,Southern Africa,East Africa,no
ENA,Ennarea,,,Northern Africa,Horn of Africa,no
WGD,Wagadugu,,,Northern Africa,Niger,no
ZND,Zandoma,,,Northern Africa,Niger,no
GUR,Fada N'gourma,,,Northern Africa,Niger,no
TEN,Tenkodogo,,,Northern Africa,Niger,no
OGD,Ogaadeen,,,Northern Africa,Horn of Africa,no
WAD,Wadai,,,Northern Africa,Sahel,no
AFA,Aussa,,,Northern Africa,Horn of Africa,no
ALO,Alodia,,,Northern Africa,Horn of Africa,no
DAR,Darfur,,,Northern Africa,Sahel,no
GLE,Geledi,,,Northern Africa,Horn of Africa,no
HAR,Harar,,,Northern Africa,Horn of Africa,no
HOB,Hobyo,,,Northern Africa,Horn of Africa,no
MJE,Majeerteen,,,Northern Africa,Horn of Africa,no
MRE,Marehan,,,Northern Africa,Horn of Africa,no
PTE,Pate,,,Southern Africa,East Africa,no
WAR,Warsangali,,,Northern Africa,Horn of Africa,no
BEJ,Beja,,,Northern Africa,Horn of Africa,no
JIM,Jimma,,,Northern Africa,Horn of Africa,no
WLY,Welayta,,,Northern Africa,Horn of Africa,no
DAM,Damot,,,Northern Africa,Horn of Africa,no
HDY,Hadiya,,,Northern Africa,Horn of Africa,no
SOA,Shewa,,,Northern Africa,Horn of Africa,no
JJI,Janjiro,,,Northern Africa,Horn of Africa,no
ABB,Dongola,,,Northern Africa,Horn of Africa,no
TYO,Tyo,,,Southern Africa,Congo,no
SYO,Soyo,,,Southern Africa,Congo,no
KSJ,Kasanje,,,Southern Africa,Congo,no
CKW,Chokwe,,,Southern Africa,Central Africa,no
KIK,Kikondja,,,Southern Africa,Central Africa,no
KZB,Kazembe,,,Southern Africa,Central Africa,no
YAK,Yaka,,,Southern Africa,Congo,no
KLD,Kalundwe,,,Southern Africa,Central Africa,no
RWA,Rwanda,,,Southern Africa,Central Africa,no
BUU,Burundi,,,Southern Africa,Central Africa,no
BUG,Buganda,,,Southern Africa,Central Africa,no
NKO,Nkore,,,Southern Africa,Central Africa,no
KRW,Karagwe,,,Southern Africa,Central Africa,no
BNY,Bunyoro,,,Southern Africa,Central Africa,no
BSG,Busoga,,,Southern Africa,Central Africa,no
UBH,Buha,,,Southern Africa,Central Africa,no
LDU,Lundu,,,Southern Africa,East Africa,no
MKU,Makua,,,Southern Africa,East Africa,no
SKA,Sakalava,,,Southern Africa,East Africa,no
MFY,Mahafaly,,,Southern Africa,East Africa,no
CHK,Champasak,,,East Indies,Indochina,yes
IKE,Ikeda,,,Far East,Japan,no
MAE,Maeda,,,Far East,Japan,no
AKM,Akamatsu,,,Far East,Japan,no
LUA,Luang Prabang,,,East Indies,Indochina,yes
MKS,Makassar,,,East Indies,Moluccas,no
MTR,Mataram,,,East Indies,Indonesia,no
SST,Shan,,,East Indies,Burma,yes
VIE,Vientiane,,,East Indies,Indochina,yes
CZH,Zhou,,,China,Xinan,yes
CXI,Xi,,,China,South China,no
FRM,Tungning,,,China,South China,no
KLM,Kalmyk,,,Eastern Europe,Pontic Steppe,no
MGE,Mongol Empire,,,Tartary,Mongolia,yes
NVK,Nivkh,,,Far East,Manchuria,no
SOL,Solon,,,Far East,Manchuria,no
KRC,Korchin,,,Tartary,Mongolia,no
KLK,Khalkha,,,Tartary,Mongolia,yes
HMI,Kara Del,,,Tartary,Mongolia,no
CHH,Chahar,,,Tartary,Mongolia,no
KSD,Khoshuud,,,Tartary,Tibet,yes
SYG,Sarig Yogir,,,Tartary,Tibet,no
UTS,Tsang,,,Tartary,Tibet,no
KAM,Kham,,,Tartary,Tibet,no
GUG,Guge,,,Tartary,Tibet,no
PHA,U,,,Tartary,Tibet,no
MIN,Min,,,China,South China,no
YUE,Yue,,,China,South China,no
SHU,Shu,,,China,Xinan,no
NNG,Ning,,,China,South China,no
CHC,Chu,,,China,South China,no
TNG,Tang,,,China,North China,no
WUU,Wu,,,China,South China,no
QIC,Qi,,,China,North China,no
YAN,Yan,,,China,North China,no
JIN,Jin,,,China,North China,no
LNG,Liang,,,China,North China,no
QIN,Qin,,,China,North China,no
HUA,Huai,,,China,South China,no
BIJ,Bijapur,,,India,Deccan,no
GOC,Golkonda,,,India,Deccan,no
AHM,Ahmednagar,,,India,Deccan,no
MAD,Madurai,,,India,Coromandel,no
MAW,Marwar,,,India,Western India,no
MUL,Multan,,,India,Hindustan,no
BRR,Berar,,,India,Deccan,no
JAN,Jangladesh,,,India,Western India,no
KRK,Carnatic,,,India,Coromandel,no
GDW,Garha,,,India,Deccan,no
GRJ,Garjat,,,India,Bengal,no
KSH,Kashmir,,,India,Hindustan,no
KLN,Keladi,,,India,Deccan,no
KHD,Khandesh,,,India,Western India,no
ODH,Oudh,,,India,Hindustan,no
VND,Venad,,,India,Deccan,no
MAB,Calicut,,,India,Deccan,no
MEW,Mewat,,,India,Western India,no
BST,Bastar,,,India,Bengal,no
BHU,Bhutan,,,Tartary,Tibet,no
JSL,Jaisalmer,,,India,Western India,no
KAT,Kutch,,,India,Western India,no
KOC,Kochin,,,India,Deccan,no
HAD,Hadoti,,,India,Hindustan,no
NGA,Nagaur,,,India,Western India,no
RMP,Rohilkhand,,,India,Hindustan,no
JFN,Jaffna,,,India,Coromandel,no
PTA,Patiala,,,India,Hindustan,no
CHD,Chanda,,,India,Deccan,no
NGP,Jharkhand,,,India,Bengal,no
CMP,Rewa Kantha,,,India,Western India,no
YOR,Andhra,,,India,Coromandel,no
DGL,Maldives,,,East Indies,Malaya,no
MBL,Bishnupur,,,India,Bengal,no
SKK,Sikkim,,,Tartary,Tibet,no
IDR,Idar,,,India,Western India,no
JLV,Jhalavad,,,India,Western India,no
PTL,Palitana,,,India,Western India,no
NVR,Navanagar,,,India,Western India,no
RJK,Rajkot,,,India,Western India,no
JGD,Junagarh,,,India,Western India,no
PRB,Porbandar,,,India,Western India,no
KLP,Kalpi,,,India,Hindustan,no
SBP,Sambalpur,,,India,Bengal,no
PTT,Patna,,,India,Bengal,no
RTT,Ratanpur,,,India,Bengal,no
KLH,Kalahandi,,,India,Bengal,no
KJH,Keonhjar,,,India,Bengal,no
PRD,Parlakhimidi,,,India,Bengal,no
JPR,Jeypore,,,India,Bengal,no
SRG,Surguja,,,India,Hindustan,no
TLG,Telingana,,,India,Deccan,no
KLT,Kolathunad,,,India,Deccan,no
DNG,Dang,,,India,Hindustan,no
DTI,Doti,,,India,Hindustan,no
GRK,Gorkha,,,India,Hindustan,no
JML,Jumla,,,India,Hindustan,no
LWA,Limbuwan,,,India,Hindustan,no
MKP,Makwanpur,,,India,Hindustan,no
SRM,Sirmur,,,India,Hindustan,no
KTU,Kathmandu,,,India,Hindustan,no
KMN,Kumaon,,,India,Hindustan,no
GNG,Gingee,,,India,Coromandel,no
TNJ,Tanjore,,,India,Coromandel,no
SRH,Sirhind,,,India,Hindustan,no
BAR,Bar,,,Western Europe,France,no
ABE,Abenaki,,,North America,Northeast,no
APA,Apache,,,Central America,California,no
ASI,Assiniboine,,,North America,Hudson Bay,no
BLA,Blackfoot,,,North America,Hudson Bay,no
CAD,Caddo,,,North America,Mississippi,no
CHO,Choctaw,,,North America,Mississippi,no
CHY,Cheyenne,,,North America,Hudson Bay,no
COM,Comanche,,,North America,Great Plains,no
FOX,Fox,,,North America,Great Lakes,no
LEN,Lenape,,,North America,Northeast,no
MAH,Mahican,,,North America,Northeast,no
MIK,Mikmaq,,,North America,Canada,no
MMI,Miami,,,North America,Great Lakes,no
NAH,Navajo,,,Central America,California,no
OJI,Ojibwe,,,North America,Great Lakes,no
OSA,Osage,,,North America,Great Lakes,no
OTT,Ottawa,,,North America,Canada,no
PAW,Pawnee,,,North America,Great Plains,no
PEQ,Pequot,,,North America,Northeast,no
PIM,Pima,,,Central America,California,no
POW,Powhatan,,,North America,Southeast,no
SHO,Shoshone,,,North America,Cascadia,no
SUS,Susquehannock,,,North America,Northeast,no
WCR,Cree,,,North America,Hudson Bay,no
BON,Bonoman,,,Northern Africa,Niger,no
DGB,Dagbon,,,Northern Africa,Niger,no
FUL,Fulo,,,Northern Africa,Niger,no
JNN,Jenné,,,Northern Africa,Niger,no
KBU,Kaabu,,,Northern Africa,Guinea,no
KNG,Kong,,,Northern Africa,Niger,no
MSI,Mossi,,,Northern Africa,Niger,yes
NUP,Nupe,,,Northern Africa,Niger,no
TMB,Timbuktu,,,Northern Africa,Sahel,no
YAO,Yao,,,Northern Africa,Sahel,no
YAT,Yatenga,,,Northern Africa,Niger,no
ZAF,Macina,,,Northern Africa,Sahel,yes
HSE,Hsenwi,,,East Indies,Burma,no
JOH,Johor,,,East Indies,Malaya,no
KED,Kedah,,,East Indies,Malaya,no
MPH,Muang Phuan,,,East Indies,Indochina,no
MYA,Mong Yang,,,East Indies,Burma,no
PRK,Perak,,,East Indies,Malaya,no
MMA,Mong Mao,,,China,Xinan,no
MKA,Mong Kawng,,,East Indies,Burma,no
MPA,Mong Pai,,,East Indies,Burma,no
MNI,Mong Nai,,,East Indies,Burma,no
KAL,Kale,,,East Indies,Burma,no
HSI,Hsipaw,,,East Indies,Burma,no
CHU,Chukchi,,,Tartary,East Siberia,no
HOD,Khodynt,,,Tartary,East Siberia,no
CHV,Chavchuveny,,,Tartary,East Siberia,no
KMC,Kamchadals,,,Tartary,East Siberia,no
BRT,Buryatia,,,Tartary,East Siberia,no
ARP,Arapaho,,,North America,Great Plains,no
CLM,Colima,,,Central America,Mexico,no
CNK,Chinook,,,North America,Cascadia,no
COC,Cocomes,,,Central America,Central America,no
HDA,Haida,,,North America,Cascadia,no
ITZ,Itza,,,Central America,Central America,no
KIO,Kiowa,,,North America,Great Plains,no
MIX,Mixtec,,,Central America,Mexico,no
SAL,Salish,,,North America,Cascadia,no
TLA,Tlapanec,,,Central America,Mexico,no
TLX,Tlaxcala,,,Central America,Mexico,no
TOT,Totonac,,,Central America,Mexico,no
WIC,Wichita,,,Central America,Rio Grande,no
XIU,Xiu,,,Central America,Central America,no
BLM,Blambangan,,,East Indies,Indonesia,no
BTN,Buton,,,East Indies,Moluccas,no
DMK,Demak,,,East Indies,Indonesia,no
SAK,Siak,,,East Indies,Malaya,no
BNJ,Banjar,,,East Indies,Indonesia,no
LUW,Luwu,,,East Indies,Moluccas,no
TER,Ternate,,,East Indies,Moluccas,no
TID,Tidore,,,East Indies,Moluccas,no
CCQ,Calchaqui,,,Andes,Upper Peru,no
QTO,Quito,,,Andes,Peru,no
CJA,Cajamarca,,,Andes,Peru,no
HJA,Huyla,,,Andes,Peru,no
PTG,Potiguara,,,Amazonia,Brazil,no
TPQ,Tupiniquim,,,Amazonia,Brazil,no
TPA,Tupinamba,,,Amazonia,Brazil,no
WKA,Wanka,,,Andes,Peru,no
CLA,Colla,,,Andes,Peru,no
CRA,Charca,,,Andes,Upper Peru,no
PCJ,Pacajes,,,Andes,Peru,no
ARW,Arawak,,,Amazonia,Colombia,no
ICM,Ichma,,,Andes,Peru,no
MAT,Matlatzinca,,,Central America,Mexico,no
COI,Coixtlahuaca,,,Central America,Mexico,no
TEO,Teotitlan,,,Central America,Mexico,no
XAL,Xalisco,,,Central America,Mexico,no
HST,Huastec,,,Central America,Mexico,no
OTO,Otomi,,,Central America,Mexico,no
YOK,Yokotan,,,Central America,Central America,no
LAC,Tzotzil,,,Central America,Central America,no
KAQ,Kaqchikel,,,Central America,Central America,no
CTM,Chactemal,,,Central America,Central America,no
MSC,Mescalero,,,Central America,Rio Grande,no
LIP,Lipan,,,Central America,Rio Grande,no
CHT,Chorti,,,Central America,Central America,no
MIS,Miskito,,,Central America,Central America,no
TAI,Tairona,,,Amazonia,Colombia,no
CNP,Can Pech,,,Central America,Central America,no
TON,Tonala,,,Central America,Mexico,no
YAQ,Yaqui,,,Central America,California,no
YKT,Yokuts,,,Central America,California,no
UBV,Munich,,,Western Europe,South Germany,no
LBV,Landshut,,,Western Europe,South Germany,no
ING,Ingolstadt,,,Western Europe,South Germany,no
PSS,Passau,,,Western Europe,South Germany,no
KNZ,Konstanz,,,Western Europe,South Germany,no
REG,Regensburg,,,Western Europe,South Germany,no
PDV,Padua,,,Western Europe,Italy,no
SPL,Spoleto,,,Western Europe,Italy,no
WOL,Wolgast,,,Western Europe,North Germany,no
STE,Stettin,,,Western Europe,North Germany,no
RUG,Rügen,,,Western Europe,North Germany,no
MLH,Mulhouse,,,Western Europe,South Germany,no
RUP,Ruppin,,,Western Europe,North Germany,no
LPP,Lippe,,,Western Europe,North Germany,no
PAD,Paderborn,,,Western Europe,North Germany,no
DWT,Donauwörth,,,Western Europe,South Germany,no
OSN,Osnabrück,,,Western Europe,North Germany,no
COB,Coburg,,,Western Europe,South Germany,no
BNE,Bone,,,East Indies,Moluccas,no
BEU,Berau,,,East Indies,Indonesia,no
SMB,Sambas,,,East Indies,Indonesia,no
BRS,Barus,,,East Indies,Malaya,no
