tag,name,ideaset,idea_key,superregion,region,formable
EIC,East India Company,East India Ideas,EIC_ideas,India,Bengal,no
VOC,Vereenigde Oostindische Compagnie,Vereenigde Oostindische Compagnie Ideas,voc_ideas,India,Bengal,no
BNG,Bengal,Bengal Sultanate Ideas,BNG_ideas,India,Bengal,no
BIJ,Bijapur,,,India,Deccan,no
BAH,Bahmanis,Bahmani Ideas,BAH_ideas,India,Deccan,no
DLH,Delhi,Delhian Ideas,DLH_ideas,India,Hindustan,yes
GOC,Golkonda,,,India,Deccan,no
DEC,Deccan,Deccani Ideas,DEC_ideas,India,Deccan,yes
MAR,Marathas,Maratha Ideas,MAR_ideas,India,Deccan,yes
MUG,Mughals,Mughal Ideas,MUG_ideas,India,Hindustan,yes
MYS,Mysore,Mysorean Ideas,MYS_ideas,India,Deccan,no
VIJ,Vijayanagar,Vijayanagar Ideas,VIJ_ideas,India,Deccan,no
AHM,Ahmednagar,,,India,Deccan,no
ASS,Assam,Assamese Ideas,ASS_ideas,India,Bengal,no
GUJ,Gujarat,Gujarat Sultanate Ideas,GUJ_ideas,India,Western India,no
JNP,Jaunpur,Jaunpuri Ideas,JNP_ideas,India,Hindustan,no
MAD,Madurai,,,India,Coromandel,no
MLW,Malwa,Malvi Ideas,MLW_ideas,India,Western India,no
MAW,Marwar,,,India,Western India,no
MER,Mewar,Mewari Ideas,MER_ideas,India,Western India,no
MUL,Multan,,,India,Hindustan,no
NAG,Nagpur,Nagpuri Ideas,NAG_ideas,India,Deccan,yes
NPL,Nepal,Nepali Ideas,NPL_ideas,India,Hindustan,yes
ORI,Orissa,Orissan Ideas,ORI_ideas,India,Bengal,yes
PUN,Punjab,Punjabi Ideas,PUN_ideas,India,Hindustan,yes
SND,Sindh,Sindhi Ideas,SND_ideas,India,Western India,no
BRR,Berar,,,India,Deccan,no
JAN,Jangladesh,,,India,Western India,no
KRK,Carnatic,,,India,Coromandel,no
GDW,Garha,,,India,Deccan,no
GRJ,Garjat,,,India,Bengal,no
GWA,Gwalior,Maratha Ideas,MAR_ideas,India,Hindustan,no
DHU,Dhundhar,Dhundhari Ideas,DHU_ideas,India,Western India,no
KSH,Kashmir,,,India,Hindustan,no
KLN,Keladi,,,India,Deccan,no
KHD,Khandesh,,,India,Western India,no
ODH,Oudh,,,India,Hindustan,no
VND,Venad,,,India,Deccan,no
MAB,Calicut,,,India,Deccan,no
MEW,Mewat,,,India,Western India,no
BDA,Baroda,Maratha Ideas,MAR_ideas,India,Western India,no
BST,Bastar,,,India,Bengal,no
BND,Bundelkhand,Vindhyan Ideas,vindhyan_ideas,India,Hindustan,no
CEY,Kotte,Sinhalese Ideas,CEY_ideas,India,Coromandel,no
JSL,Jaisalmer,,,India,Western India,no
KAC,Kachar,Bengali Ideas,bengali_ideas,India,Bengal,no
KMT,Koch,Bengali Ideas,bengali_ideas,India,Bengal,no
KGR,Kangra,Kangra Ideas,KGR_ideas,India,Hindustan,no
KAT,Kutch,,,India,Western India,no
KOC,Kochin,,,India,Deccan,no
MLB,Manipur,Manipur Ideas,MLB_ideas,India,Bengal,no
HAD,Hadoti,,,India,Hindustan,no
NGA,Nagaur,,,India,Western India,no
RMP,Rohilkhand,,,India,Hindustan,no
LDK,Ladakh,Ladakh Ideas,LDK_ideas,India,Hindustan,no
BGL,Baghelkhand,Vindhyan Ideas,vindhyan_ideas,India,Hindustan,no
JFN,Jaffna,,,India,Coromandel,no
PTA,Patiala,,,India,Hindustan,no
GHR,Garhwal,Garhwali Ideas,GHR_ideas,India,Hindustan,no
CHD,Chanda,,,India,Deccan,no
NGP,Jharkhand,,,India,Bengal,no
JAJ,Habsan,Siddi Ideas,JAJ_ideas,India,Deccan,no
TRT,Tirhut,Tirhuti Ideas,TRT_ideas,India,Hindustan,no
CMP,Rewa Kantha,,,India,Western India,no
BGA,Baglana,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
TPR,Tripura,Tripuran Ideas,TPR_ideas,India,Bengal,no
SDY,Sadiya,Sadiyan Ideas,SDY_ideas,India,Bengal,no
BHA,Bharat,Bharathi Ideas,BHA_ideas,India,Hindustan,yes
YOR,Andhra,,,India,Coromandel,no
MBL,Bishnupur,,,India,Bengal,no
IDR,Idar,,,India,Western India,no
JLV,Jhalavad,,,India,Western India,no
PTL,Palitana,,,India,Western India,no
NVR,Navanagar,,,India,Western India,no
RJK,Rajkot,,,India,Western India,no
JGD,Junagarh,,,India,Western India,no
PRB,Porbandar,,,India,Western India,no
PAN,Kalinjar,Vindhyan Ideas,vindhyan_ideas,India,Hindustan,no
KLP,Kalpi,,,India,Hindustan,no
SBP,Sambalpur,,,India,Bengal,no
PTT,Patna,,,India,Bengal,no
RTT,Ratanpur,,,India,Bengal,no
KLH,Kalahandi,,,India,Bengal,no
KJH,Keonhjar,,,India,Bengal,no
PRD,Parlakhimidi,,,India,Bengal,no
JPR,Jeypore,,,India,Bengal,no
SRG,Surguja,,,India,Hindustan,no
KND,Kandy,Sinhalese Ideas,CEY_ideas,India,Coromandel,no
TLG,Telingana,,,India,Deccan,no
KLT,Kolathunad,,,India,Deccan,no
DNG,Dang,,,India,Hindustan,no
DTI,Doti,,,India,Hindustan,no
GRK,Gorkha,,,India,Hindustan,no
JML,Jumla,,,India,Hindustan,no
LWA,Limbuwan,,,India,Hindustan,no
MKP,Makwanpur,,,India,Hindustan,no
SRM,Sirmur,,,India,Hindustan,no
KTU,Kathmandu,,,India,Hindustan,no
KMN,Kumaon,,,India,Hindustan,no
GNG,Gingee,,,India,Coromandel,no
TNJ,Tanjore,,,India,Coromandel,no
SRH,Sirhind,,,India,Hindustan,no
RJP,Rajputana,Rajputana ideas,RJP_ideas,India,Hindustan,yes
