category,eu5_modifier,eu5_desc,eu4_modifier,eu4_desc
administrative,,,autonomy_change_time,Autonomy Change Time
administrative,,,core_creation,Core Creation
administrative,,,culture_conversion_cost,Culture Conversion Cost
administrative,,,global_autonomy,Global Autonomy
administrative,,,governing_capacity_modifier,Governing Capacity Modifier
administrative,,,max_absolutism,Max Absolutism
administrative,,,max_absolutism_effect,Max Absolutism Effect
administrative,,,meritocracy,Meritocracy
administrative,,,min_autonomy_in_territories,Min Autonomy in Territories
administrative,,,monthly_reform_progress,Monthly Reform Progress
administrative,,,monthly_reform_progress_modifier,Monthly Reform Progress Modifier
administrative,,,global_unrest,National Unrest
administrative,,,prestige_from_land,Prestige from Land battles
administrative,,,province_warscore_cost,Province Warscore Cost
administrative,,,reform_progress_growth,Reform Progress Growth
administrative,,,yearly_absolutism,Yearly Absolutism
administrative,,,yearly_corruption,Yearly Corruption
administrative,cultures_capacity_modifier,MODIFIER_TYPE_NAME_cultures_capacity,promote_culture_cost,Promote Culture Cost
administrative,tribes_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the tribes_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,burghers_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the burghers_estate has.,burghers_influence_modifier,Burghers Influence Modifier
administrative,clergy_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the clergy_estate has.,church_loyalty_modifier,Church Loyalty Modifier
administrative,nobles_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the nobles_estate has.,nobles_loyalty_modifier,Nobles Loyalty Modifier
administrative,peasants_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the peasants_estate has.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,allow_estate_parliament,Unlocks the Estate Parliament Type,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,global_bureaucracy_implementation_efficiency,This impacts how much it costs to add a bureaucracy to your government.,state_governing_cost,State Governing Cost
administrative,burghers_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the burghers_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,burghers_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the burghers_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,government_size,This impacts how many characters that can be in cabinet at the same time.,yearly_government_power,Yearly Government Power
administrative,has_stability_investment,This allows stability_investment for a country.,stability_cost_modifier,Stability Cost Modifier
administrative,can_sell_bonds,This country has the financial infrastructure to issue government_bonds.,interest,Interest Per Annum
administrative,clergy_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the clergy_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,clergy_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the clergy_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,global_clergy_estate_power,This impacts the estate_power of the clergy_estate in the entire country.,church_loyalty_modifier,Church Loyalty Modifier
administrative,global_crown_estate_power,This impacts the estate_power of the crown_estate or in other words the crown_power in the entire country.,yearly_government_power,Yearly Government Power
administrative,cultures_capacity,This impacts how many accepted_cultures and tolerated_cultures a country can have. Some cultures cost less.,num_accepted_cultures,Num Accepted Cultures
administrative,estate_enrichment,This impacts the estates_enrichment in a country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,estate_power_from_cabinet,This impacts the estate_power of the estate a character belongs to when assigned to cabinet.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,global_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of all the estates in the country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,global_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for all the estates in the country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,grant_privilege_cost_modifier,This impacts how much it costs to grant an estate_privilege.,estate_interaction_cooldown_modifier,Estate Interaction Cooldown Modifier
administrative,global_max_bureaucracy_slots,This impacts how many bureaucracies you can add to your government.,yearly_government_power,Yearly Government Power
administrative,max_bonds,Increases the maximum number of government_bonds this country can have outstanding at one time.,interest,Interest Per Annum
administrative,max_bonds_modifier,Increases the maximum number of government_bonds by a percentage of the flat maximum.,interest,Interest Per Annum
administrative,monthly_peasants_estate_rebel_growth,This impacts how quickly ShowEstateTypeName('peasants_estate') rebels progress to a civil_war.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,monthly_legitimacy,This impacts how much legitimacy a country gets each month.,legitimacy,Legitimacy
administrative,monthly_prestige,This impacts how much prestige we will get each month.,prestige,Prestige
administrative,monthly_republican_tradition,This impacts how much republican_tradition a country gets each month.,republican_tradition,Republican Tradition
administrative,nobles_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the nobles_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,nobles_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the nobles_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,global_nobles_estate_power,This impacts the estate_power of the nobles_estate in the entire country.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,global_peasant_enfranchisment,This determines how much of the wealth_share of a location belongs to the ShowEstateTypeName('peasants_estate'). The rest is transferred to the ShowEstateTypeName('nobles_estate').,estate_interaction_cooldown_modifier,Estate Interaction Cooldown Modifier
administrative,peasants_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the peasants_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,peasants_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the peasants_estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
