modifier_key,modifier_name
accept_vassalization_reasons,Accept Vassalization Reasons
adm_advisor_cost,Adm Advisor Cost
adm_tech_cost_modifier,Administrative Technology Cost
administrative_efficiency,Administrative Efficiency
admiral_cost,Admiral Cost
advisor_cost,Advisor Costs
advisor_pool,Advisor Pool
ae_impact,AE Impact
all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
all_estate_possible_privileges,All Estate Possible Privileges
allow_mercenary_drill,Allow Mercenary Drill
allowed_marine_fraction,Allowed Marine Fraction
allowed_samurai_fraction,Allowed Samurai Fraction
amount_of_banners,Amount of Banners
army_tradition,Army Tradition
army_tradition_decay,Army Tradition Decay
army_tradition_from_battle,Army Tradition from Battle
artillery_cost,Artillery Cost
artillery_fire,Artillery Fire
artillery_level_modifier,Artillery Level Modifier
artillery_power,Artillery Power
artillery_shock,Artillery Shock
auto_explore_adjacent_to_colony,Automatically Discover Adjacent When a Colony is Built.
autonomy_change_time,Autonomy Change Time
backrow_artillery_damage,Backrow Artillery Damage
blockade_efficiency,Blockade Efficiency
brahmins_hindu_loyalty_modifier,Brahmins Hindu Loyalty Modifier
brahmins_muslim_loyalty_modifier,Brahmins Muslim Loyalty Modifier
build_cost,Construction Cost
build_time,Construction Time
burghers_influence_modifier,Burghers Influence Modifier
burghers_loyalty_modifier,Burghers Loyalty Modifier
can_claim_states,Can Claim States
can_recruit_hussars,Can Recruit Hussars
can_transfer_vassal_wargoal,Can Transfer Vassal Wargoal
capture_ship_chance,Capture Ship Chance
caravan_power,Caravan Power
cav_to_inf_ratio,Cavalry to Infantry Ratio
cavalry_cost,Cavalry Cost
cavalry_fire,Cavalry Fire
cavalry_flanking,Cavalry Flanking
cavalry_power,Cavalry Power
cb_on_primitives,Cb on Primitives
cb_on_religious_enemies,Cb on Religious Enemies
center_of_trade_upgrade_cost,Center of Trade Upgrade Cost
church_loyalty_modifier,Church Loyalty Modifier
church_power_modifier,Church Power Modifier
coast_raid_range,Coast Raid Range
colonist_placement_chance,Settler Chance
colonists,Colonists
core_creation,Core Creation
cossacks_privilege_slots,Cossacks Privilege Slots
country_admin_power,Country Admin Power
country_military_power,Country Military Power
culture_conversion_cost,Culture Conversion Cost
curia_powers_cost,Curia Powers Cost
defensiveness,Fort Defense
development_cost,Development Cost
development_cost_in_primary_culture,Development Cost in Primary Culture
devotion,Devotion
dhimmi_loyalty_modifier,Dhimmi Loyalty Modifier
dip_advisor_cost,Dip Advisor Cost
dip_tech_cost_modifier,Diplomatic Technology Cost
diplomatic_annexation_cost,Diplomatic Annexation Cost
diplomatic_reputation,Diplomatic Reputation
diplomatic_upkeep,Diplomatic Upkeep
diplomats,Diplomats
discipline,Discipline
disengagement_chance,Disengagement Chance
drill_gain_modifier,Drill Gain Modifier
embargo_efficiency,Embargo Efficiency
embracement_cost,Embracement Cost
enforce_religion_cost,Enforce Religion Cost
envoy_travel_time,Envoy Travel Time
estate_interaction_cooldown_modifier,Estate Interaction Cooldown Modifier
eunuchs_loyalty_modifier,Eunuchs Loyalty Modifier
expand_administration_cost,Expand Administration Cost
expand_infrastructure_cost_modifier,Expand Infrastructure Cost Modifier
fabricate_claims_cost,Fabricate Claims Cost
female_advisor_chance,Female Advisor Chance
fire_damage,Fire Damage
fire_damage_received,Fire Damage Received
flagship_cost,Flagship Cost
fort_maintenance_modifier,Fort Maintenance Modifier
free_adm_policy,Free Adm Policy
free_dip_policy,Free Dip Policy
free_leader_pool,Free Leader Pool
free_mil_policy,Free Mil Policy
free_policy,Free Policy
galley_cost,Galley Cost
galley_power,Galley Power
garrison_damage,Garrison Damage
garrison_size,Garrison Size
general_cost,General Cost
ghulams_loyalty_modifier,Ghulams Loyalty Modifier
ghulams_privilege_slots,Ghulams Privilege Slots
global_allowed_num_of_buildings,Global Allowed Num of Buildings
global_autonomy,Global Autonomy
global_colonial_growth,Global Colonial Growth
global_foreign_trade_power,Global Foreign Trade Power
global_garrison_growth,National Garrison Growth
global_heretic_missionary_strength,Global Heretic Missionary Strength
global_institution_spread,Global Institution Spread
global_manpower_modifier,Global Manpower Modifier
global_missionary_strength,Global Missionary Strength
global_naval_barrage_cost,Global Naval Barrage Cost
global_naval_engagement_modifier,Global Naval Engagement Modifier
global_own_trade_power,Global Own Trade Power
global_prosperity_growth,Global Prosperity Growth
global_prov_trade_power_modifier,Global Prov Trade Power Modifier
global_regiment_cost,Global Regiment Cost
global_regiment_recruit_speed,Global Regiment Recruit Speed
global_sailors_modifier,Global Sailors Modifier
global_ship_cost,Global Ship Cost
global_ship_recruit_speed,Global Ship Recruit Speed
global_ship_repair,Global Ship Repair
global_ship_trade_power,Global Ship Trade Power
global_spy_defence,Global Spy Defence
global_supply_limit_modifier,National Supply Limit Modifier
global_tariffs,Global Tariffs
global_tax_modifier,National Tax Modifier
global_trade_goods_size_modifier,Global Trade Goods Size Modifier
global_trade_power,Global Trade Power
global_unrest,National Unrest
gold_depletion_chance_modifier,Gold Depletion Chance Modifier
governing_capacity_modifier,Governing Capacity Modifier
great_project_upgrade_cost,Great Project Upgrade Cost
great_project_upgrade_time,Great Project Upgrade Time
harmonization_speed,Harmonization Speed
harsh_treatment_cost,Harsh Treatment Cost
has_geobukseon,Has Geobukseon
has_samurai,Has Samurai
heavy_ship_cost,Heavy Ship Cost
heavy_ship_power,Heavy Ship Power
heir_chance,Heir Chance
horde_unity,Horde Unity
hostile_attrition,Hostile Attrition
idea_claim_colonies,Idea Claim Colonies
idea_cost,Idea Cost
imperial_authority,Imperial Authority
imperial_authority_value,Imperial Authority Value
imperial_mandate,Imperial Mandate
improve_relation_modifier,Improve Relation Modifier
infantry_cost,Infantry Cost
infantry_power,Infantry Power
infantry_shock,Infantry Shock
inflation_reduction,Yearly Inflation Reduction
innovativeness_gain,Innovativeness Gain
institution_spread_from_true_faith,Institution Spread from True Faith
interest,Interest Per Annum
jains_loyalty_modifier,Jains Loyalty Modifier
janissaries_loyalty_modifier,Janissaries Loyalty Modifier
justify_trade_conflict_cost,Justify Trade Conflict Cost
land_attrition,Land Attrition
land_forcelimit_modifier,Land Force Limit Modifier
land_maintenance_modifier,Land Maintenance Modifier
land_morale,Morale of Armies
landing_penalty,Landing Penalty
leader_cost,Leader Cost
leader_land_fire,Leader Land Fire
leader_land_manuever,Leader Land Manuever
leader_land_shock,Leader Land Shock
leader_naval_fire,Leader Naval Fire
leader_naval_manuever,Leader Naval Manuever
leader_naval_shock,Leader Naval Shock
leader_siege,Leader Siege
legitimacy,Legitimacy
liberty_desire_from_subject_development,Liberty Desire from Subject Development
light_ship_cost,Light Ship Cost
light_ship_power,Light Ship Power
loot_amount,Loot Amount
loyalty_change_on_revoked,Loyalty Change on Revoked
manpower_in_accepted_culture_provinces,Manpower in Accepted Culture Provinces
manpower_in_own_culture_provinces,Manpower in Own Culture Provinces
manpower_in_true_faith_provinces,Manpower in True Faith Provinces
manpower_recovery_speed,Manpower Recovery Speed
maratha_loyalty_modifier,Maratha Loyalty Modifier
max_absolutism,Max Absolutism
max_absolutism_effect,Max Absolutism Effect
max_general_fire,Max General Fire
max_hostile_attrition,Max Hostile Attrition
max_revolutionary_zeal,Max Revolutionary Zeal
may_establish_frontier,May Establish Frontier
may_explore,Allows recruitment of explorers & conquistadors.
may_perform_slave_raid,May Raid Coasts
