modifier_key,modifier_name
accepted_culture_maintenance_cost_modifier,Accepted Culture Maintenance Cost
activate_avatar_cost_modifier,$activate_avatar$ Cost
allow_autocratic_parliament,Allow Autocratic Parliament
allow_conquistadors,Can Recruit Conquistadors
allow_constitutional_parliament,Allow Constitutional Parliament
allow_council_parliament,Allow Council Parliament
allow_estate_parliament,Allow Estate Parliament
allow_extensive_conscription_cabinet_action,Allows Extensive Conscription
allow_female_cabinet,Allow Females in Cabinet
allow_open_sea_exploration,Allows Open Sea Exploration
allow_privateers_slave_raid,Privateers Will Raid for Slaves
allow_subjects,Can Get Subjects
always_allow_army_levies,Army Levies Always Allowed
amount_looted_modifier,Amount Looted
annexation_speed_modifier,Speed of Annexation
antagonism_development_impact,Antagonism from Development
antagonism_received_modifier,Antagonism Received
anti_piracy_warfare_modifier,Anti-Piracy Warfare Modifier
aqueduct_system_max_level,$aqueduct_system$ Max Level
army_artillery_build_cost_modifier,$army_artillery$ Build Cost
army_artillery_maintenance_cost_modifier,$army_artillery$ Maintenance Cost
army_artillery_power,$army_artillery$ Power
army_auxiliary_build_cost_modifier,$army_auxiliary$ Build Cost
army_disembark_speed,Army Disembark Speed
army_heavy_cavalry_build_cost_modifier,$army_heavy_cavalry$ Build Cost
army_heavy_cavalry_maintenance_cost_modifier,$army_heavy_cavalry$ Maintenance Cost
army_heavy_cavalry_power,$army_heavy_cavalry$ Power
army_heavy_infantry_build_cost_modifier,$army_heavy_infantry$ Build Cost
army_heavy_infantry_maintenance_cost_modifier,$army_heavy_infantry$ Maintenance Cost
army_heavy_infantry_power,$army_heavy_infantry$ Power
army_heavy_infantry_reinforce_cost_modifier,$army_heavy_infantry$ Reinforcement Cost
army_initiative,Army Initiative
army_light_cavalry_build_cost_modifier,$army_light_cavalry$ Build Cost
army_light_cavalry_maintenance_cost_modifier,$army_light_cavalry$ Maintenance Cost
army_light_cavalry_power,$army_light_cavalry$ Power
army_light_cavalry_reinforce_cost_modifier,$army_light_cavalry$ Reinforcement Cost
army_light_infantry_maintenance_cost_modifier,$army_light_infantry$ Maintenance Cost
army_light_infantry_power,$army_light_infantry$ Power
army_light_infantry_reinforce_cost_modifier,$army_light_infantry$ Reinforcement Cost
army_logistics_distance,Logistics Distance
army_logistics_distance_modifier,Logistics Distance
army_maintenance_efficiency,Army Maintenance Efficiency
army_movement_speed,Army Movement Speed
army_reinforce_efficiency,Army Reinforcement Efficiency
army_tradition_decay,Army Tradition Decay
army_tradition_from_battle,Army Tradition from Battles
artillery_bonus_vs_fort,Artillery Bonus vs Fort
artist_salary_modifier,Artist Salary
assault_ability,Assault Ability
auto_slave_raid,Raid Enemies for Slaves
auto_slave_raid_different_religion,Raid Religious Enemies for Slaves
bank_interest,Bank Interest
blockade_efficiency,Blockade Efficiency
build_gravel_road_cost_modifier,Build $gravel_road$ Cost
build_modern_road_cost_modifier,Build $modern_road$ Cost
build_paved_road_cost_modifier,Build $paved_road$ Cost
build_railroad_cost_modifier,Build $railroad$ Cost
building_missionary_effort_modifier,Monthly Religious Conversion from Buildings
building_upkeep_efficiency,Building Upkeep Efficiency
burghers_estate_agenda_impact,Agenda Impact for $burghers_estate$
burghers_estate_max_tax,Maximum Tax for Burgher Estate
burghers_estate_satisfaction_recovery,Burgher Estate Satisfaction Recovery
burghers_estate_target_satisfaction,Burgher Estate Satisfaction Equilibrium
can_build_cities,Can Build Cities
can_colonize,Can Colonize
can_convert_galleys_to_light,Can Convert Galley to Light Ships
can_extract_alum,Can Mine Alum
can_extract_coal,Can Mine Coal
can_extract_copper,Can Mine Copper
can_extract_goods_gold,Can Mine Gold
can_extract_iron,Can Mine Iron
can_extract_lead,Can Mine Lead
can_extract_legumes,Can Farm Legumes
can_extract_maize,Can Farm Maize
can_extract_marble,Can Mine Marble
can_extract_mercury,Can Mine Mercury
can_extract_millet,Can Extract Millet
can_extract_potato,Can Farm Potato
can_extract_rice,Can Farm Rice
can_extract_saltpeter,Can Mine Saltpeter
can_extract_silver,Can Mine Silver
can_extract_stone,Can Mine Stone
can_extract_tin,Can Mine Tin
can_extract_wheat,Can Farm Wheat
can_grant_town_rights,Can Grant Urban Rights
can_hire_privateers,Can Hire Privateers
can_recruit_explorer,Can Recruit Explorers
can_sell_bonds,Can Issue Government Bonds
can_use_council_of_three_lands_modifier,Allows Council of Three Lands
capital_possible_town_rights,Possible Urban Rights in Capital
cardinal_price_cost_modifier,Cardinal Price
casus_belli_creation_speed_modifier,Casus Belli Creation Speed
chancery_cap_level,Chancery Max Level
change_liturgical_language_cost_modifier,Change Liturgical Language Cost
change_policy_cost_modifier,Change Policy Cost
city_upgrade_cost_modifier,City Rights Cost
cleansing_ritual_purity_cost_modifier,Cost of Cleansing Ritual Religious Action
clergy_estate_agenda_impact,Agenda Impact for $clergy_estate$
clergy_estate_max_tax,Maximum Tax for Clergy Estate
clergy_estate_satisfaction_recovery,Clergy Estate Satisfaction Recovery
clergy_estate_target_satisfaction,Clergy Estate Satisfaction Equilibrium
colonial_maintenance_efficiency,Colonial Maintenance Efficiency
colonial_migration_size_modifier,Monthly Colonial Migration
colonial_range,Colonial Range
colonial_range_modifier,Colonial Range
combat_speed_modifier,Combat Speed
combined_bonus_per_type,Combined Arms Bonus
correct_box_chance,Correct Section Chance
counter_espionage,Counterespionage
country_cabinet_efficiency,Efficiency of Our Cabinet
country_child_education,Education of Heirs
court_spending_efficiency,Court Spending Efficiency
create_autocephalous_patriarchate_cost_modifier,Create Autocephalous Patriarchate Cost
create_colonial_charter_cost_modifier,Create Colonial Charter Cost
cultural_influence_modifier,Cultural Influence %
cultural_tradition_modifier,Cultural Tradition %
cultures_capacity,Cultures Capacity
cultures_capacity_modifier,Cultures Capacity
damage_done_versus_heathens_modifier,Damage Done versus Heathens in Battle
deactivate_avatar_cost_modifier,$deactivate_avatar$ Cost
dhimmi_estate_max_tax,Maximum Tax for Ḏimmī Estate
dhimmi_estate_target_satisfaction,Ḏimmī Estate Satisfaction Equilibrium
diplomatic_annexation_efficiency,Diplomatic Annexation Efficiency
diplomatic_capacity,Diplomatic Capacity
diplomatic_capacity_modifier,Diplomatic Capacity
diplomatic_range_modifier,Diplomatic Range
diplomatic_reputation,Diplomatic Reputation
diplomatic_spending_cost,Expected Diplomatic Spending
diplomatic_upkeep_efficiency,Diplomatic Upkeep Efficiency
discipline,Discipline
dismiss_religious_figure_cost_modifier,Dismiss Religious Figure Cost
embrace_institution_cost_modifier,Embrace Institution Cost
enable_taxation,Allows Tax
estate_building_destruction_satisfaction_impact,Estate Satisfaction from Destroying Estate Buildings
estate_enrichment,Estate Enrichment
estate_power_from_cabinet,Estate Power from Cabinet Position
expand_rgo_farming_cost_modifier,Expand Farming Cost
expand_rgo_mining_cost_modifier,Expand Mining Cost
experience_decay,Monthly Experience Decay
exploration_maintenance_efficiency,Exploration Cost Efficiency
exploration_mission_speed,Exploration Monthly Progress
exploration_mission_speed_modifier,Exploration Monthly Progress
exploration_preparation_time_modifier,Exploration Preparation Time Modifier
export_efficiency,Export Efficiency
food_consumption_modifier,Unit Food Consumption
food_purchase_efficiency,Food Purchase Efficiency
foreign_export_from_market_efficiency,Foreign Export Efficiency from Market
fort_limit,Fort Limit
fort_limit_modifier,Fort Limit
fort_maintenance_efficiency,Fortification Maintenance Efficiency
global_alum_output_modifier,$alum$ Output
global_books_output_modifier,$books$ Output
global_build_buildings_efficiency,Buildings Construction Efficiency
global_bureaucracy_implementation_efficiency,Bureaucracy Implementation Efficiency
global_bureaucracy_maintenance_efficiency,Bureaucracy Maintenance Efficiency
global_burghers_city_desired_pop,Possible $burghers$ in Towns and Cities
global_burghers_max_literacy,Max Literacy for Burghers
global_cannons_output_modifier,$cannons$ Output
global_clergy_city_desired_pop,Possible $clergy$ in Towns and Cities
global_clergy_desired_pop,Possible $clergy$
global_clergy_estate_power,Clergy Power
global_clergy_food_consumption,Clergy Food Consumption
global_clergy_max_literacy,Max Literacy for Clergy
global_clergy_rural_desired_pop,Possible $clergy$ in Rural Locations
global_cloth_output_modifier,$cloth$ Output
global_cloves_output_modifier,$cloves$ Output
global_coal_output_modifier,$coal$ Output
global_coffee_output_modifier,$coffee$ Output
global_construction_speed,Construction Speed
global_copper_output_modifier,$copper$ Output
global_crown_estate_power,Crown Power
global_defensive,Fort Defense
global_devastation_recovery,Prosperity Recovery
global_disease_resistance,Disease Resistance
global_distance_from_capital_speed_propagation,Proximity Efficiency
global_dyes_output_modifier,$dyes$ Output
global_estate_max_tax,Maximum Tax
global_estate_satisfaction_recovery,Estates Satisfaction Recovery
global_estate_target_satisfaction,Estates Satisfaction Equilibrium
global_fiber_crops_output_modifier,$fiber_crops$ Output
global_fine_cloth_output_modifier,$fine_cloth$ Output
global_firearms_output_modifier,$firearms$ Output
global_fish_output_modifier,$fish$ Output
global_food_capacity,Food Capacity
global_food_decay,Food Decay
global_foreign_build_buildings_efficiency,Foreign Buildings Construction Efficiency
global_fort_build_buildings_efficiency,Fort Construction Efficiency
global_fruit_output_modifier,$fruit$ Output
global_fur_output_modifier,$fur$ Output
global_garrison_growth,Garrison Growth
global_garrison_size_modifier,Garrison Size
global_gems_output_modifier,$gems$ Output
global_glass_output_modifier,$glass$ Output
global_goods_gold_output_modifier,$goods_gold$ Output
global_horses_output_modifier,$horses$ Output
global_hostile_attrition,Hostile Attrition
global_incense_output_modifier,$incense$ Output
global_institution_growth_modifier,Institution Growth
global_integration_speed_modifier,Speed of Integration
