category,eu5_modifier,eu5_desc,eu4_modifier,eu4_desc
administrative,,,administrative_efficiency,Administrative Efficiency
administrative,,,cossacks_privilege_slots,Cossacks Privilege Slots
administrative,,,country_admin_power,Country Admin Power
administrative,,,expand_administration_cost,Expand Administration Cost
administrative,,,free_adm_policy,Administrative Free Policies
administrative,,,ghulams_privilege_slots,Ghulams Privilege Slots
administrative,,,global_unrest,Global Unrest
administrative,,,governing_capacity_modifier,Governing Capacity Modifier
administrative,,,manpower_in_own_culture_provinces,Manpower In Own Culture Provinces
administrative,,,max_absolutism_effect,Max Absolutism Effect
administrative,,,meritocracy,Meritocracy
administrative,,,monarch_admin_power,Monarch Admin Power
administrative,,,monthly_reform_progress,Monthly Reform Progress
administrative,,,monthly_reform_progress_modifier,Monthly Reform Progress Modifier
administrative,,,num_of_parliament_issues,Num Of Parliament Issues
administrative,,,prestige_from_naval,Prestige From Naval
administrative,,,qizilbash_privilege_slots,Qizilbash Privilege Slots
administrative,,,reform_progress_growth,Reform Progress Growth
administrative,,,warscore_cost_vs_other_religion,War Score Cost vs Other Religions
administrative,,,yearly_absolutism,Yearly Absolutism
administrative,,,yearly_corruption,Yearly Corruption
administrative,allow_autocratic_parliament,Unlocks the Autocratic Parliament Type,,
administrative,allow_conquistadors,This allows us to gain a new army_based subject that has the ShowGovernmentReformName('conquistador_country') government_reform.,,
administrative,allow_constitutional_parliament,Unlocks the Constitutional Parliament Type,,
administrative,allow_council_parliament,Unlocks the Council Parliament Type,,
administrative,allow_estate_parliament,Unlocks the Estate Parliament Type,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,burghers_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the Burghers Estate has.,burghers_influence_modifier,Burghers Influence Modifier
administrative,burghers_estate_max_tax,This impacts the maximum_tax that can be collected from the Burghers Estate.,,
administrative,burghers_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the Burghers Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,burghers_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the Burghers Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,clergy_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the Clergy Estate has.,church_loyalty_modifier,Church Loyalty Modifier
administrative,clergy_estate_max_tax,This impacts the maximum_tax that can be collected from the Clergy Estate.,,
administrative,clergy_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the Clergy Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,clergy_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the Clergy Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,cultural_influence_modifier,This impacts the cultural_influence of our primary_culture.,burghers_influence_modifier,Burghers Influence Modifier
administrative,cultural_tradition_modifier,This impacts the cultural_tradition of our primary_culture.,,
administrative,dhimmi_estate_max_tax,This impacts the maximum_tax that can be collected from the Dhimmi Estate.,,
administrative,dhimmi_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the Dhimmi Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,enable_taxation,This allows a country to collect taxes from their estates.,,
administrative,estate_enrichment,This impacts the estates_enrichment in a country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,estate_power_from_cabinet,This impacts the estate_power of the estate a character belongs to when assigned to cabinet.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,global_bureaucracy_implementation_efficiency,This impacts how much it costs to add a bureaucracy to your government.,state_governing_cost,State Governing Cost
administrative,global_bureaucracy_maintenance_efficiency,This impacts how much it costs to maintain a bureaucracy in your government.,,
administrative,global_crown_estate_power,This impacts the estate_power of the Crown Estate or in other words the crown_power in the entire country.,yearly_government_power,Yearly Government Power
administrative,global_estate_max_tax,This impacts the maximum_tax that can be collected from all the estates in the country.,,
administrative,global_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for all the estates in the country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,global_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of all the estates in the country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,global_hostile_attrition,This impacts the attrition of hostile armies in all locations we own and control.,hostile_attrition,Attrition for Enemies
administrative,global_integration_speed_modifier,This impacts how quickly a country can integrate locations.,core_creation,Core-Creation Cost
administrative,global_max_bureaucracy_slots,This impacts how many bureaucracies you can add to your government.,yearly_government_power,Yearly Government Power
administrative,global_max_literacy,This impacts the maximum literacy of all pops in a country.,max_absolutism,Maximum Absolutism
administrative,global_max_rgo_size_modifier,This impacts the maximum size of all rgo in a country,max_absolutism,Maximum Absolutism
administrative,global_max_rural_control,This modifies the maximum control of all rural_locations in a country.,min_autonomy_in_territories,Min Autonomy In Territories
administrative,global_monthly_control,This is how much control will change in all locations of a country.,autonomy_change_time,Autonomy Change Cooldown
administrative,global_monthly_control_decline,This is how much control will decrease when its above the maximum in all locations in a country.,autonomy_change_time,Autonomy Change Cooldown
administrative,global_monthly_urban_control,This is how much control will change in all urban_locations in a country.,global_autonomy,Global Autonomy
administrative,global_nobles_estate_power,This impacts the estate_power of the Nobles Estate in the entire country.,all_estate_possible_privileges,All Estate Possible Privileges
