subsection,modifier,example,description,effect_type
Military,army_tradition,1,Adds to the rate of army tradition gained each year.,Additive
Military,army_tradition_decay,-0.01,Adds to the decay rate of army tradition.,Additive
Military,army_tradition_from_battle,0.01,Modifies the army tradition bonus when gained through battles.,Multiplicative
Military,yearly_army_professionalism,0.01,Modifies the rate of army professionalism gained each year.,Multiplicative
Military,drill_gain_modifier,0.10,Modifies the army drill gains while drilling,Multiplicative
Military,drill_decay_modifier,-0.10,Modifies the army drill decay rate per year.,Multiplicative
Military,infantry_cost,-0.10,Modifies the base cost of infantry units.,Multiplicative
Military,infantry_power,0.10,Modifies the power infantry gain from unit pips.,Multiplicative
Military,infantry_fire,1,"added to infanty fire modifier, a pure multiplier to infantry damage during fire phase",Additive
Military,infantry_shock,1,"added to infanty shock modifier, a pure multiplier to infantry damage during shock phase",Additive
Military,cavalry_cost,-0.10,Modifies the base cost of cavalry units.,Multiplicative
Military,cavalry_power,0.10,Modifies the power cavalry gain from unit pips.,Multiplicative
Military,cavalry_fire,1,"added to cavalry fire modifier, a pure multiplier to cavalry damage during fire phase",Additive
Military,cavalry_shock,1,"added to cavalry shock modifier, a pure multiplier to cavalry damage during shock phase",Additive
Military,artillery_cost,-0.10,Modifies the base cost of artillery units.,Multiplicative
Military,artillery_power,0.10,Modifies the power artillery gain from unit pips.,Multiplicative
Military,artillery_fire,1,"added to artillery fire modifier, a pure multiplier to artillery damage during fire phase, also for ship cannons",Additive
Military,artillery_shock,1,"added to artillery shock modifier, a pure multiplier to artillery damage during shock phase",Additive
Military,cav_to_inf_ratio,0.10,Adds to the ratio required to negate the insufficient support penalty.,Additive
Military,cavalry_flanking,0.10,Modifies the effectiveness of cavalry flanking.,Multiplicative
Military,artillery_levels_available_vs_fort,1,Adds to the maximum levels of artillery on siege,Additive
Military,artillery_level_modifier,1,"Modifies how much an artillery unit contributes towards a siege. E.g. 0.2 would mean a 20% bonus, so 5 artillery would count for 6.",Multiplicative
Military,backrow_artillery_damage,0.10,Modifies the bonus damage artillery inflict when in the backrow during combat.,Multiplicative
Military,discipline,0.01,Modifies the discipline of land units.,Multiplicative
Military,land_morale,0.10,Modifies the land morale of land units.,Multiplicative
Military,land_morale_constant,0.1,Adds to the land morale of land units.,Additive
Military,movement_speed,0.10,Modifies the base movement speed for all land units.,Multiplicative
Military,fire_damage,0.10,Modifies the fire damage done by land units.,Multiplicative
Military,fire_damage_received,-0.10,Modifies the fire damage taken by land units.,Multiplicative
Military,shock_damage,0.10,Modifies the shock damage done by land units.,Multiplicative
Military,shock_damage_received,-0.10,Modifies the shock damage taken by land units.,Multiplicative
Military,morale_damage,0.025,Modifies the morale damage done by land units.,Multiplicative
Military,morale_damage_received,-0.025,Modifies the morale damage taken by land units.,Multiplicative
Military,recover_army_morale_speed,0.10,Modifies the army morale recovery speed.,Multiplicative
Military,reserves_organisation,0.10,"Modifies the morale damage taken by units in reserves (i.e. not in battle, but engaged with another unit)",Multiplicative
Military,land_attrition,-0.10,Modifies the attrition taken by land units.,Multiplicative
Military,reinforce_cost_modifier,-0.10,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
Military,no_cost_for_reinforcing,yes,Allows free reinforcement for units.,Constant
Military,reinforce_speed,0.10,Modifies the rate at which units are reinforced with new men.,Multiplicative
Military,manpower_recovery_speed,0.10,Modifies the rate at which manpower is recovered.,Multiplicative
Military,global_manpower,1,Adds to the country's total manpower pool. 1 equals 1000 men.,Additive
Military,global_manpower_modifier,0.10,Modifies a country's total manpower pool.,Multiplicative
Military,global_regiment_cost,-0.10,Modifies the base unit cost for all land units.,Multiplicative
Military,global_regiment_recruit_speed,-0.10,Modifies the base speed at which land units are recruited.,Multiplicative
Military,global_supply_limit_modifier,0.10,Modifies the supply limit of provinces,Additive
Military,land_forcelimit,1,Adds to a country's force limit.,Additive
Military,land_forcelimit_modifier,0.10,Modifies a country's force limit.,Multiplicative
Military,land_maintenance_modifier,-0.10,Modifies the maintenance cost of all land units.,Multiplicative
Military,possible_condottieri,1,Modifies the base condottieri limit.,Multiplicative
Military,hostile_attrition,1,Adds to the attrition enemies take in a country's provinces.,Additive
Military,max_hostile_attrition,3,Modifies the maximum attrition enemies have in a country,Additive
Military,siege_ability,0.10,Modifies the siege ability that affects siege phase length. Reverse concept of defensiveness.,Multiplicative
Military,artillery_barrage_cost,-0.25,Modifies the cost for using 'Artillery Barrage' action during sieges.,Multiplicative
Military,assault_fort_cost_modifier,-0.25,Modifies the military cost to assault forts.,Multiplicative
Military,assault_fort_ability,0.25,Modifies the damage the troops deal to the garrison when assaulting a fort.,Multiplicative
Military,defensiveness,0.10,Modifies the siege defensiveness that affects siege phase length.,Multiplicative
Military,garrison_size,0.10,Modifies the base garrison size in provinces.,Multiplicative
Military,global_garrison_growth,0.10,Modifies the base garrison growth in provinces.,Multiplicative
Military,garrison_damage,0.5,Modifies the damage the garrison deals when the fort gets assaulted or when a country use the sortie to fight the hostile army.,Multiplicative
Military,fort_maintenance_modifier,-0.10,Modifies the base fort maintenance cost.,Multiplicative
Military,rival_border_fort_maintenance,-0.10,Modifies the base fort maintenance cost for forts in provinces that border rivals.,Multiplicative
Military,war_exhaustion,-0.10,Adds to the monthly war exhaustion rate.,Additive
Military,war_exhaustion_cost,-0.10,Modifies the diplomatic power cost for reducing war exhaustion.,Multiplicative
Military,leader_land_fire,1,Adds to the minimum fire pip count a leader can be generated with.,Additive
