eu4_subsection,eu4_modifier,eu4_example,eu4_description,eu4_effect_type
Military,max_attrition,5,Adds to the maximum attrition that can be experienced in a province.,Additive
Military,attrition,5,Adds to the base attrition in a province.,Additive
Military,local_hostile_attrition,5,Adds to the base attrition for enemies in a province.,Additive
Military,local_attacker_dice_roll_bonus,1,Adds to the local attacker dice roll bonus,Additive
Military,local_defender_dice_roll_bonus,1,Adds to the local defender dice roll bonus,Additve
Military,fort_level,1,"Adds to the fort level in a province, determining how difficult it is to siege.",Additive
Military,garrison_growth,0.05,Modifies the rate of garrison growth in a province.,Multiplicative
Military,local_defensiveness,0.1,"Modifies the defensiveness of a province, impacting siege phase length.",Multiplicative
Military,local_fort_maintenance_modifier,-0.1,Modifies the local fort maintenance in a province,Multiplicative
Military,local_garrison_size,0.10,Modifies the base garrison size in a province,Multiplicative
Military,local_garrison_damage,0.5,Modifies the damage the local garrison deals when the fort gets assaulted or when a country use the sortie to fight the hostile army.,Multiplicative
Military,local_assault_fort_cost_modifier,0.5,Modifies the military cost to assault the fort of the province.,Multiplicative
Military,local_assault_fort_ability,-0.5,Modifies the damage the troops deal to the garrison when assaulting a fort of the province.,Multiplicative
Military,local_friendly_movement_speed,0.1,Modifies the movement speed of friendly units in or towards a province.,Multiplicative
Military,local_hostile_movement_speed,0.1,Modifies the movement speed of enemy units in or towards a province.,Multiplicative
Military,local_manpower,1,Adds to the base manpower value. 1 equals 1000 men.,Additive
Military,local_manpower_modifier,0.25,Modifies the manpower efficiency in a province.,Multiplicative
Military,local_regiment_cost,-0.25,Modifies the recruitment cost of land units in a province.,Multiplicative
Military,regiment_recruit_speed,-0.25,Modifies the recruitment speed of land units in a province.,Multiplicative
Military,supply_limit,1,Adds to the base supply limit of a province.,Additive
Military,supply_limit_modifier,0.25,Modifies the supply limit efficiency of a province.,Multiplicative
Military,local_own_coast_naval_combat_bonus,1,Adds to the dice roll bonus on a provinces' coast,Additive
Special Regiments,local_has_banners,yes,Allows Manchu banner units to be raised in owned provinces.,Constant
Special Regiments,local_amount_of_banners,0.1,"Modifies the amount of banners that can be raised from a province. When it set in a static modifier it is applied multiplicatively, but in other cases it is additive.",Additive / Multiplicative
Special Regiments,local_amount_of_cawa,0.125,"Modifies the amount of Cawa units that can be raised from a province. When it set in a static modifier it is applied multiplicatively, but in other cases it is additive.",Additive / Multiplicative
Special Regiments,local_has_carolean,yes,Allows Carolean units to be raised in owned provinces.,Constant
Special Regiments,local_amount_of_carolean,0.1,"Modifies the amount of Carolean units that can be raised from a province. When it set in a static modifier it is applied multiplicatively, but in other cases it is additive.",Additive / Multiplicative
Special Regiments,local_amount_of_hussars,4,"Modifies the amount of Winged Hussar units that can be raised from a province. When it set in a static modifier it is applied multiplicatively, but in other cases it is additive.",Additive / Multiplicative
Special Regiments,local_has_streltsy,yes,Allows Streltsy units to be raised in owned provinces.,Constant
Special Regiments,local_has_tercio,yes,Allows Tercio units to be raised in owned provinces.,Constant
Special Regiments,local_has_musketeers,yes,Allows Musketeer units to be raised in owned provinces.,Constant
Special Regiments,local_has_samurai,yes,Allows Samurai units to be raised in owned provinces.,Constant
Special Regiments,local_has_mamluks,yes,Allows Mamluk units to be raised in owned provinces.,Constant
