eu4_subsection,eu4_modifier,eu4_example,eu4_description,eu4_effect_type
Unit Scope,is_mercenary_modifier,yes,"When added to an event modifier, the event modifier will only affect mercenary regiments.",
Unit Scope,is_marine_modifier,yes,"When added to an event modifier, the event modifier will only affect marine regiments.",
Unit Scope,is_janissary_modifier,yes,"When added to an event modifier, the event modifier will only affect janissary regiments.",
Unit Scope,is_rajput_modifier,yes,"When added to an event modifier, the event modifier will only affect rajput regiments.",
Unit Scope,is_revolutionary_guard_modifier,yes,"When added to an event modifier, the event modifier will only affect revolutionary guard regiments.",
Unit Scope,is_cawa_modifier,yes,"When added to an event modifier, the event modifier will only affect cawa regiments.",
Unit Scope,is_hussars_modifier,yes,"When added to an event modifier, the event modifier will only affect winged hussar regiments.",
Unit Scope,is_banner_modifier,yes,"When added to an event modifier, the event modifier will only affect banner regiments.",
Unit Scope,is_streltsy_modifier,yes,"When added to an event modifier, the event modifier will only affect streltsy regiments.",
Unit Scope,is_cossack_modifier,yes,"When added to an event modifier, the event modifier will only affect cossack regiments.",
Unit Scope,is_carolean_modifier,yes,"When added to an event modifier, the event modifier will only affect carolean regiments.",
Unit Scope,is_tercio_modifier,yes,"When added to an event modifier, the event modifier will only affect tercio regiments.",
Unit Scope,is_musketeer_modifier,yes,"When added to an event modifier, the event modifier will only affect musketeer regiments.",
Unit Scope,is_samurai_modifier,yes,"When added to an event modifier, the event modifier will only affect samurai regiments.",
Unit Scope,is_geobukseon_modifier,yes,"When added to an event modifier, the event modifier will only affect geobukseon ships.",
Unit Scope,is_man_of_war_modifier,yes,"When added to an event modifier, the event modifier will only affect man of war ships.",
Unit Scope,is_galleon_modifier,yes,"When added to an event modifier, the event modifier will only affect galleon ships.",
Unit Scope,is_galleass_modifier,yes,"When added to an event modifier, the event modifier will only affect galleass ships.",
Unit Scope,is_caravel_modifier,yes,"When added to an event modifier, the event modifier will only affect caravel ships.",
Unit Scope,is_voc_indiamen_modifier,yes,"When added to an event modifier, the event modifier will only affect voc indiaman ships.",
Unit Scope,is_mamluks_modifier,yes,"When added to an event modifier, the event modifier will only affect mamluk regiments.",
Unit Scope,is_qizilbash_modifier,yes,"When added to an event modifier, the event modifier will only affect qizilbash regiments.",
