eu4_tag,eu4_name,ideaset,idea_key,eu4_superregion,eu4_region,eu4_formable
ASS,Assam,Assamese Ideas,ASS_ideas,India,Bengal,no
BNG,Bengal,Bengal Sultanate Ideas,BNG_ideas,India,Bengal,no
EIC,East India Company,East India Ideas,EIC_ideas,India,Bengal,no
MLB,Manipur,Manipur Ideas,MLB_ideas,India,Bengal,no
ORI,Orissa,Orissan Ideas,ORI_ideas,India,Bengal,yes
SDY,Sadiya,Sadiyan Ideas,SDY_ideas,India,Bengal,no
TPR,Tripura,Tripuran Ideas,TPR_ideas,India,Bengal,no
KAC,Kachar,Bengali Ideas,bengali_ideas,India,Bengal,no
KMT,Koch,Bengali Ideas,bengali_ideas,India,Bengal,no
MBL,Bishnupur,Bengali Ideas,bengali_ideas,India,Bengal,no
BST,Bastar,Gond Ideas,central_indic_ideas,India,Bengal,no
RTT,Ratanpur,Gond Ideas,central_indic_ideas,India,Bengal,no
GRJ,Garjat,Garjati Ideas,garjati_ideas,India,Bengal,no
JPR,Jeypore,Garjati Ideas,garjati_ideas,India,Bengal,no
KJH,Keonhjar,Garjati Ideas,garjati_ideas,India,Bengal,no
KLH,Kalahandi,Garjati Ideas,garjati_ideas,India,Bengal,no
NGP,Jharkhand,Garjati Ideas,garjati_ideas,India,Bengal,no
PRD,Parlakhimidi,Garjati Ideas,garjati_ideas,India,Bengal,no
PTT,Patna,Garjati Ideas,garjati_ideas,India,Bengal,no
SBP,Sambalpur,Garjati Ideas,garjati_ideas,India,Bengal,no
VOC,Vereenigde Oostindische Compagnie,Vereenigde Oostindische Compagnie Ideas,voc_ideas,India,Bengal,no
CEY,Kotte,Sinhalese Ideas,CEY_ideas,India,Coromandel,no
KND,Kandy,Sinhalese Ideas,CEY_ideas,India,Coromandel,no
KRK,Carnatic,Deccani Sultanate Ideas,deccani_muslim_ideas,India,Coromandel,no
GNG,Gingee,South Indian Ideas,dravidian_ideas,India,Coromandel,no
JFN,Jaffna,South Indian Ideas,dravidian_ideas,India,Coromandel,no
MAD,Madurai,South Indian Ideas,dravidian_ideas,India,Coromandel,no
TNJ,Tanjore,South Indian Ideas,dravidian_ideas,India,Coromandel,no
YOR,Andhra,Telugu Ideas,telugu_ideas,India,Coromandel,no
BAH,Bahmanis,Bahmani Ideas,BAH_ideas,India,Deccan,no
DEC,Deccan,Deccani Ideas,DEC_ideas,India,Deccan,yes
JAJ,Habsan,Siddi Ideas,JAJ_ideas,India,Deccan,no
MAR,Marathas,Maratha Ideas,MAR_ideas,India,Deccan,yes
