tag,name,culture,culture_key,ideaset,idea_key,superregion,region,formable
AYU,Ayutthaya,Siamese,central_thai,Ayutthayan Ideas,AYU_ideas,East Indies,Indochina,no
CHA,Champa,Cham,cham,Cham Ideas,CHA_ideas,East Indies,Indochina,no
JAR,Jarai,Cham,cham,Cham Ideas,CHA_ideas,East Indies,Indochina,no
KOH,Koho,Cham,cham,Cham Ideas,CHA_ideas,East Indies,Indochina,no
RHA,Rhade,Cham,cham,Cham Ideas,CHA_ideas,East Indies,Indochina,no
ANN,Annam,Vietnamese,vietnamese,Dai Viet Ideas,DAI_ideas,East Indies,Indochina,yes
DAI,Dai Viet,Vietnamese,vietnamese,Dai Viet Ideas,DAI_ideas,East Indies,Indochina,yes
TOK,Tonkin,Vietnamese,vietnamese,Dai Viet Ideas,DAI_ideas,East Indies,Indochina,yes
KHM,Khmer,Khmer,khmer,Khmer Ideas,KHM_ideas,East Indies,Indochina,no
LNA,Lan Na,Khon Muang,northern_thai,Lan Na Ideas,LNA_ideas,East Indies,Indochina,no
LXA,Lan Xang,Lao,lao,Lan Xang Ideas,LXA_ideas,East Indies,Indochina,yes
SIA,Siam,Siamese,central_thai,Siamese Ideas,SIA_ideas,East Indies,Indochina,yes
SUK,Sukhothai,Siamese,central_thai,Sukhothai Ideas,SUK_ideas,East Indies,Indochina,no
CHK,Champasak,Lao,lao,Laotian Ideas,laotian_ideas,East Indies,Indochina,yes
LUA,Luang Prabang,Lao,lao,Laotian Ideas,laotian_ideas,East Indies,Indochina,yes
MPH,Muang Phuan,Lao,lao,Laotian Ideas,laotian_ideas,East Indies,Indochina,no
VIE,Vientiane,Lao,lao,Laotian Ideas,laotian_ideas,East Indies,Indochina,yes
