eu5_modifier,eu4_matches,confidence,notes
absorb_institutions_cost_modifier,embracement_cost,high,Both modify the cost of embracing/absorbing institutions
accept_subjugation_reasons,accept_vassalization_reasons,high,Direct equivalent - reasons to accept becoming a subject
activate_avatar_cost_modifier,,none,EU5-specific avatar mechanic with no EU4 equivalent
add_accepted_culture_cost_modifier,promote_culture_cost,medium,Related cultural action but EU4 promotes culture rather than adds accepted
add_location_to_international_organization_cost_modifier,,none,EU5-specific international organization mechanic
add_religious_aspect_christian_cost_modifier,,none,EU5-specific religious aspect system
add_religious_aspect_hellenism_cost_modifier,,none,EU5-specific religious aspect system
add_religious_aspect_inti_cost_modifier,,none,EU5-specific religious aspect system
add_tolerated_culture_cost_modifier,,none,EU5-specific tolerated culture concept
aggressiveness_modifier,ae_impact,high,Both modify aggressive expansion generated
aid_colonial_war_cost_modifier,,none,EU5-specific colonial war aid action
allelengyon_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy mechanic
allow_assembly_parliament,,none,EU5-specific parliament type
allow_autocratic_parliament,,none,EU5-specific parliament type
allow_bureaucracy,,none,EU5-specific bureaucracy system
allow_cabinet_assimilate_area,,none,EU5-specific cabinet action
allow_cabinet_diplomatic_corps,,none,EU5-specific cabinet action
allow_cabinet_naval_focus,,none,EU5-specific cabinet action
allow_cabinet_reduced_paperwork,,none,EU5-specific cabinet action
allow_cabinet_soldiers_as_workforce,,none,EU5-specific cabinet action
allow_conquistadors,may_explore,high,EU4 may_explore covers both explorers and conquistadors
allow_constitutional_parliament,,none,EU5-specific parliament type
allow_council_parliament,,none,EU5-specific parliament type
allow_diplomacy_force_change_court_language,,none,EU5-specific diplomatic action
allow_diplomacy_force_divert_trade,,none,EU5-specific diplomatic action
allow_diplomacy_force_embargo,,none,EU5-specific diplomatic action
allow_diplomacy_influence_nation,,none,EU5-specific diplomatic action
allow_diplomacy_violate_sovereignty,,none,EU5-specific diplomatic action
allow_estate_parliament,,none,EU5-specific parliament type combining estates
allow_extensive_conscription_cabinet_action,,none,EU5-specific cabinet action
allow_female_cabinet,,none,EU5-specific cabinet gender rule
allow_female_leader,may_recruit_female_generals,high,Direct equivalent - allows female military commanders
allow_harmony,,none,EU5-specific harmony toggle (EU4 harmony exists but no allow modifier)
allow_landfriede,,none,EU5-specific HRE Landfriede mechanic
allow_male_cabinet,,none,EU5-specific cabinet gender rule
allow_male_leader,,none,EU5-specific gender rule for commanders
allow_mercenary_drill,allow_mercenary_drill,high,Direct equivalent - enables mercenary drilling
allow_mysticism_vs_jurisprudence,,none,EU5-specific religious school mechanic
allow_native_subjugation_cb,cb_on_primitives,high,Both grant CB against natives/primitives
allow_open_sea_exploration,may_explore,medium,Related exploration permission but EU5 specifies open sea
allow_paik_levies,,none,EU5-specific Indian levy type
allow_privateers_slave_raid,may_perform_slave_raid,medium,Related slave raid mechanic via privateers
allow_rgo_slave_demand,,none,EU5-specific pop/RGO system
allow_righteousness,,none,EU5-specific religious mechanic
allow_roman_movement,,none,EU5-specific Latin/Roman revival mechanic
allow_safe_refuge_cost_modifier,,none,EU5-specific diplomatic action
allow_self_control,,none,EU5-specific mechanic
allow_slave_conversion,,none,EU5-specific pop mechanic
allow_smartism_gods,,none,EU5-specific religious system
allow_subjects,allow_client_states,medium,Related - EU4 allow_client_states is narrower subset of subjects
allow_thema_headquarters,,none,EU5-specific Byzantine mechanic
allow_tributary_subject,,none,EU5-specific (EU4 tributaries handled differently)
allow_tribute_in_silver,,none,EU5-specific tribute mechanic
allowed_alliance,,none,EU5-specific diplomatic permission flag
allowed_enforce_peace,,none,EU5-specific diplomatic permission flag
allowed_guarantee,,none,EU5-specific diplomatic permission flag
allowed_intervene_in_war,,none,EU5-specific diplomatic permission flag
allowed_support_rebels,,none,EU5-specific diplomatic permission flag
allowed_threaten_war,,none,EU5-specific diplomatic permission flag
allows_hanseatic_federation_buildings,,none,EU5-specific Hanseatic mechanic
always_allow_army_levies,,none,EU5-specific levy system
always_allow_levies,,none,EU5-specific levy system
always_allow_navy_levies,,none,EU5-specific levy system
amount_looted_modifier,loot_amount,high,Both modify amount of loot taken
amount_looted_modifier,available_province_loot,medium,Related loot mechanic on the province side
annexation_speed_base,years_to_integrate_personal_union,medium,Related to annexation/integration speed but EU4 is PU-specific
annexation_speed_modifier,global_integration_speed_modifier,high,Both modify integration/annexation speed
antagonism_breaking_truce_giving_modifier,,none,EU5-specific antagonism mechanic
antagonism_culture_influence,,none,EU5-specific antagonism mechanic
antagonism_government_type_influence,,none,EU5-specific antagonism mechanic
