eu5_modifier,eu4_matches,confidence,notes,eu5_localization,eu5_category,eu5_type,eu5_format,eu4_subsection,eu4_description,eu4_effect_type
absorb_institutions_cost_modifier,embracement_cost,high,Both modify the cost of embracing/absorbing institutions,Absorb Institutions,country,multiplicative,"percent, good",Technology,Modifies the ducat cost for embracing an institution.,Multiplicative
accept_subjugation_reasons,accept_vassalization_reasons,high,Direct equivalent - reasons to accept becoming a subject,Accept Subjugation Reasons,country,,good,Diplomacy,Gives reasons to accept vassalization.,Additive
activate_avatar_cost_modifier,,none,EU5-specific avatar mechanic with no EU4 equivalent,Activate Avatar Cost,country,multiplicative,"percent, bad",,,
add_accepted_culture_cost_modifier,promote_culture_cost,medium,Related cultural action but EU4 promotes culture rather than adds accepted,Add Accepted Culture Cost,country,multiplicative,"percent, bad",Culture,Modifies the diplomatic power cost for promoting a culture.,Multiplicative
add_location_to_international_organization_cost_modifier,,none,EU5-specific international organization mechanic,Add Location to International Organization Cost,country,multiplicative,"percent, bad",,,
add_religious_aspect_christian_cost_modifier,,none,EU5-specific religious aspect system,Cost of Adding Religious Aspect,country,multiplicative,"percent, bad",,,
add_religious_aspect_hellenism_cost_modifier,,none,EU5-specific religious aspect system,Cost of Adding Religious Aspect,country,multiplicative,"percent, bad",,,
add_religious_aspect_inti_cost_modifier,,none,EU5-specific religious aspect system,Cost of Choosing Worshipping a God,country,multiplicative,"percent, bad",,,
add_tolerated_culture_cost_modifier,,none,EU5-specific tolerated culture concept,Add Tolerated Culture Cost,country,multiplicative,"percent, bad",,,
aggressiveness_modifier,ae_impact,high,Both modify aggressive expansion generated,Aggressiveness,country,multiplicative,"percent, bad",Diplomacy,Modifies the total size of aggressive expansion gained during actions that confer it.,Multiplicative
aid_colonial_war_cost_modifier,,none,EU5-specific colonial war aid action,Aid Colonial War Efforts Cost Modifier,country,multiplicative,"percent, bad",,,
allelengyon_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy mechanic,Allelengyon Impact,country,multiplicative,"percent, good",,,
allow_assembly_parliament,,none,EU5-specific parliament type,Allow Assembly Parliament,country,boolean,good,,,
allow_autocratic_parliament,,none,EU5-specific parliament type,Allow Autocratic Parliament,country,boolean,good,,,
allow_bureaucracy,,none,EU5-specific bureaucracy system,Allow Bureaucracy,country,boolean,good,,,
allow_cabinet_assimilate_area,,none,EU5-specific cabinet action,Assimilate Area,country,boolean,good,,,
allow_cabinet_diplomatic_corps,,none,EU5-specific cabinet action,Diplomatic Corps,country,boolean,good,,,
allow_cabinet_naval_focus,,none,EU5-specific cabinet action,Maritime Support,country,boolean,good,,,
allow_cabinet_reduced_paperwork,,none,EU5-specific cabinet action,Reduced Paperwork,country,boolean,good,,,
allow_cabinet_soldiers_as_workforce,,none,EU5-specific cabinet action,Soldiers as Workforce,country,boolean,good,,,
allow_conquistadors,may_explore,high,EU4 may_explore covers both explorers and conquistadors,Can Recruit Conquistadors,country,boolean,good,Colonisation,Allows the recruitment of explorers and conquisadors.,Constant
allow_constitutional_parliament,,none,EU5-specific parliament type,Allow Constitutional Parliament,country,boolean,good,,,
allow_council_parliament,,none,EU5-specific parliament type,Allow Council Parliament,country,boolean,good,,,
allow_diplomacy_force_change_court_language,,none,EU5-specific diplomatic action,Force Change Court Language,country,boolean,good,,,
allow_diplomacy_force_divert_trade,,none,EU5-specific diplomatic action,Force Divert Trade,country,boolean,good,,,
allow_diplomacy_force_embargo,,none,EU5-specific diplomatic action,Force Embargo,country,boolean,good,,,
allow_diplomacy_influence_nation,,none,EU5-specific diplomatic action,Influence Country,country,boolean,good,,,
allow_diplomacy_violate_sovereignty,,none,EU5-specific diplomatic action,Violate Sovereignty,country,boolean,good,,,
allow_estate_parliament,,none,EU5-specific parliament type combining estates,Allow Estate Parliament,"country, estate",boolean,good,,,
allow_extensive_conscription_cabinet_action,,none,EU5-specific cabinet action,Allows Extensive Conscription,country,boolean,good,,,
allow_female_cabinet,,none,EU5-specific cabinet gender rule,Allow Females in Cabinet,country,boolean,good,,,
