eu5_modifier,eu4_matches,confidence,notes,eu5_localization,eu5_category,eu5_type,eu5_format,eu4_subsection,eu4_description,eu4_effect_type
absorb_institutions_cost_modifier,embracement_cost,high,Both modify the cost of embracing/absorbing institutions,This impacts the [costs|e] of absorbing institutions.,country,multiplicative,"percent, good",Technology,Modifies the ducat cost for embracing an institution.,Multiplicative
accept_subjugation_reasons,accept_vassalization_reasons,high,Direct equivalent - reasons to accept becoming a subject,This increases our ability to persuade another country to become our [subject|e] via diplomatic means.,country,,good,Diplomacy,Gives reasons to accept vassalization.,Additive
activate_avatar_cost_modifier,,none,EU5-specific avatar mechanic with no EU4 equivalent,This impacts the [costs|e] of [ShowGenericActionName('activate_avatar')].,country,multiplicative,"percent, bad",,,
add_accepted_culture_cost_modifier,promote_culture_cost,medium,Related cultural action but EU4 promotes culture rather than adds accepted,This impacts how much it [costs|e] to add another [accepted_culture|e].,country,multiplicative,"percent, bad",Culture,Modifies the diplomatic power cost for promoting a culture.,Multiplicative
add_location_to_international_organization_cost_modifier,,none,EU5-specific international organization mechanic,This impacts the [costs|e] of adding a [location|e] to an [international_organization|e].,country,multiplicative,"percent, bad",,,
add_religious_aspect_christian_cost_modifier,,none,EU5-specific religious aspect system,This impacts the [costs|e] of adding a [religious_aspect|e].,country,multiplicative,"percent, bad",,,
add_religious_aspect_hellenism_cost_modifier,,none,EU5-specific religious aspect system,This impacts the [costs|e] of adding a [religious_aspect|e].,country,multiplicative,"percent, bad",,,
add_religious_aspect_inti_cost_modifier,flagship_cost,high,Semantic match: flagship_cost ↔ add_religious_aspect_inti_cost_modifier,This impacts the [costs|e] of changing worshipping a [god|e].,country,multiplicative,"percent, bad",Navy,Modifies the cost of building a flagship.,Multiplicative
add_tolerated_culture_cost_modifier,development_cost_in_primary_culture,medium,Semantic match: development_cost_in_primary_culture ↔ add_tolerated_culture_cost_modifier,This impacts how much it [costs|e] to add another [tolerated_culture|e].,country,multiplicative,"percent, bad",Economy,Modifies the development cost for provinces of primary culture.,Multiplicative
aggressiveness_modifier,ae_impact,high,Both modify aggressive expansion generated,This modifies how likely an AI [country|e] to attack other [countries|e].,country,multiplicative,"percent, bad",Diplomacy,Modifies the total size of aggressive expansion gained during actions that confer it.,Multiplicative
aid_colonial_war_cost_modifier,colonial_type_change_cost_modifier,high,Semantic match: colonial_type_change_cost_modifier ↔ aid_colonial_war_cost_modifier,This impacts the [costs|e] of [ShowGenericActionName('aid_colonial_war')].,country,multiplicative,"percent, bad",Subject,Modifies the cost of changing colonial type.,Multiplicative
