type,,tags,age,advance,eu5_modifiers,eu5_modifiers (auto matched),eu4_modifiers
Formable-T3,Rajputana (H),RJP,3,abm_rjp_ideas_tradition_1,government_reform_slots = 1,government_reform_slots = 1,free_mil_policy = 1
Formable-T3,Rajputana (H),RJP,3,abm_rjp_ideas_tradition_2,land_morale_recovery = 0.02,land_morale_modifier = 0.10,land_morale = 0.1
Formable-T3,Rajputana (H),RJP,3,abm_rjp_imperial_legacy,global_integration_speed_modifier = 0.20,global_integration_speed_modifier = 0.15,core_creation = -0.15
Formable-T3,Rajputana (H),RJP,4,abm_rjp_land_of_petty_princes,global_manpower_modifier = 0.10,global_manpower_modifier = 0.10,global_manpower_modifier = 0.15
Formable-T3,Rajputana (H),RJP; ABRJS,4,abm_marwari_horses,army_heavy_cavalry_power = 0.10; army_movement_speed = 0.10,army_heavy_cavalry_power = 0.15; army_movement_speed = 0.10,cavalry_power = 0.15; movement_speed = 0.1
Formable-T3,Rajputana (H),RJP,4,abm_rjp_purbia_legacy,army_heavy_infantry_maintenance_cost_modifier = -0.1; army_light_infantry_maintenance_cost_modifier = -0.1,army_light_infantry_power = 0.10; army_light_cavalry_power = 0.10,fire_damage = 0.1
Formable-T3,Rajputana (H),RJP,5,abm_rjp_protectors_of_the_dharma,tolerance_own = 2,tolerance_own = 2,tolerance_own = 2
Formable-T3,Rajputana (H),RJP,5,abm_rjp_expanded_artillery_arm,army_artillery_cost_modifier = -0.10,army_artillery_cost_modifier = -0.15,artillery_cost = -0.15
Formable-T3,Rajputana (H),RJP,6,abm_rjp_monumental_architecture,monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10; monthly_devotion = 0.10; monthly_horde_unity = 0.10; monthly_tribal_cohesion = 0.10,monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10; monthly_devotion = 0.10; monthly_horde_unity = 0.10; monthly_tribal_cohesion = 0.10,legitimacy = 1; devotion = 1; republican_tradition = 0.3; meritocracy = 1; horde_unity = 1
Formable-T3,Rajputana (H),RJP,6,abm_rjp_ideas_ambition,"global_estate_target_satisfaction = small_permanent_target_satisfaction
        ",discipline = 0.05,discipline = 0.05
Formable-T3,Rajastan (M),ABRJS,3,abm_rajput_ideas_tradition_1,diplomatic_reputation = diplomatic_reputation_weak_bonus,diplomatic_reputation = diplomatic_reputation_weak_bonus,diplomatic_reputation = 1
Formable-T3,Rajastan (M),ABRJS,3,abm_rajput_ideas_tradition_2,regiment_reinforcement_speed = 0.10,regiment_reinforcement_speed = 0.10,manpower_recovery_speed = 0.1
Formable-T3,Rajastan (M),ABRJS,3,abm_clan_loyalties,army_reinforce_efficiency = 0.20,global_manpower_modifier = 0.10,global_manpower_modifier = 0.15
Formable-T3,Rajastan (M),ABRJS,4,abm_fortifying_rajputana,global_defensive = 0.15,global_defensive = 0.15,defensiveness = 0.15
Formable-T3,Rajastan (M),ABRJS,4,abm_rajput_resistance,monthly_war_exhaustion = -0.05,monthly_war_exhaustion = -0.05,war_exhaustion = -0.03
Formable-T3,Rajastan (M),ABRJS,5,abm_rajput_painting_school,monthly_prestige = 0.10,monthly_prestige = 0.10,prestige = 1
Formable-T3,Rajastan (M),ABRJS,5,abm_rajput_martial_ethos,army_artillery_power = 0.10,army_artillery_power = 0.10,leader_land_fire = 1
Formable-T3,Rajastan (M),ABRJS,6,abm_marwari_trading_houses,selling_efficiency = small_trade_efficiency_bonus; export_efficiency = small_trade_efficiency_bonus,selling_efficiency = small_trade_efficiency_bonus; export_efficiency = small_trade_efficiency_bonus,trade_efficiency = 0.10
Formable-T3,Rajastan (M),ABRJS,6,abm_rajput_ideas_ambition,possible_frontage_modifier = 0.10,discipline = 0.05,discipline = 0.05
Formable-T3,Gujarat,GUJ,3,abm_gujarati_ideas_tradition_1,global_merchant_power = 0.20,global_merchant_power = 0.20,merchants = 1
