tag/culture,age,advance_name,modifier,eu4_ideas
GEO,age_1_traditions,geo_legacy_of_saint_george,"army_heavy_infantry_power=0.1",""
GEO,age_1_traditions,geo_bagrationi_dynasty,"monthly_legitimacy=0.05",""
GEO,age_2_renaissance,geo_georgian_golden_age,"cultural_influence_modifier=0.1",""
GEO,age_2_renaissance,geo_legacy_of_tamar,"monthly_prestige=0.1",""
GEO,age_2_renaissance,geo_david_the_builder,"global_build_buildings_efficiency=0.2",""
GEO,age_3_discovery,geo_georgian_titles,"court_spending_efficiency=0.1",""
GEO,age_4_reformation,geo_georgian_numismatics,"global_merchant_power=0.2; minting_income_factor=0.05",""
GEO,age_4_reformation,geo_beacon_of_christianity,"global_pop_conversion_speed_modifier=0.1",""
GEO,age_5_absolutism,geo_georgian_principalities,"global_distance_from_capital_speed_propagation=0.1",""
GEO,age_6_revolutions,geo_georgian_resilience,"stability_investment=small_stability_investment",""
Armenian,age_1_traditions,arm_legacy_of_hayk,"land_morale_recovery=0.05",""
Armenian,age_1_traditions,arm_mount_ararat,"mountains_proximity_impact=-0.4; monthly_war_exhaustion=-0.02",""
Armenian,age_2_renaissance,arm_apostolic_church,"religion=religion:miaphysite; global_pop_conversion_speed_modifier=0.1",""
Armenian,age_2_renaissance,arm_land_reclamation,"global_monthly_development=0.001",""
Armenian,age_3_discovery,arm_border_nation,"diplomatic_reputation=diplomatic_reputation_weak_bonus",""
Armenian,age_3_discovery,arm_melikdom_organization,"tax_income_efficiency=medium_tax_income_efficiency_bonus",""
Armenian,age_4_reformation,arm_mountain_armies,"army_maintenance_efficiency=0.1",""
Armenian,age_4_reformation,arm_nakharar_titles,"monthly_army_tradition=0.05",""
Armenian,age_5_absolutism,arm_greater_armenia,"global_production_efficiency=medium_production_efficiency_bonus",""
Armenian,age_6_revolutions,arm_highland_fortresses,"global_hostile_attrition=1",""
SME,age_1_traditions,sme_jaqeli_dynasty,"max_diplomats=1",""
SME,age_2_renaissance,sme_atabegs_of_samtskhe,"monthly_legitimacy=0.1",""
SME,age_2_renaissance,sme_proactive_diplomacy,"spy_network_construction=0.2",""
SME,age_3_discovery,sme_fortresses_of_samtskhe,"global_defensive=0.2",""
SME,age_3_discovery,sme_independent_ambitions,"land_morale_modifier=0.1",""
SME,age_4_reformation,sme_protect_trade_routes,"trade_land_efficiency=large_trade_land_efficiency_bonus",""
SME,age_4_reformation,sme_frontier_warriors,"army_light_cavalry_build_cost_modifier=-0.1",""
SME,age_5_absolutism,sme_sacred_land,"tolerance_own=1",""
SME,age_6_revolutions,sme_bridge_between_worlds,"tolerance_heathen=1",""
Georgian,age_1_traditions,geo_georgian_highlands,"global_defensive=0.25",""
Georgian,age_1_traditions,geo_georgian_script,"cultural_tradition_modifier=0.1",""
Georgian,age_2_renaissance,geo_georgian_isolation,"improve_relation_impact=0.2",""
Georgian,age_3_discovery,geo_legacy_of_saint_nino,"religion=religion:orthodox; tolerance_own=1",""
Georgian,age_3_discovery,geo_restoration_of_fortresses_and_churches,"global_build_buildings_efficiency=0.2",""
Georgian,age_4_reformation,geo_sadrosho_districts,"army_reinforce_efficiency=0.10",""
Georgian,age_4_reformation,geo_dasturlamali,"monthly_war_exhaustion=-0.02",""
Georgian,age_5_absolutism,geo_georgian_embassies,"diplomatic_reputation=diplomatic_reputation_weak_bonus",""
Georgian,age_6_revolutions,geo_georgian_unification,"army_heavy_infantry_build_cost_modifier=-0.2",""
CIR,age_1_traditions,cir_mercenary_employment,"hire_mercenary_premium_cost_modifier=-0.1",""
CIR,age_2_renaissance,cir_horsemen_of_the_steppe,"army_light_cavalry_build_cost_modifier=-0.1; army_light_cavalry_power=0.05",""
CIR,age_2_renaissance,cir_city_and_fortress,"global_defensive=0.1; town_upgrade_cost_modifier=-0.05; city_upgrade_cost_modifier=-0.05; megalopolis_upgrade_cost_modifier=-0.05",""
