eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,eu5_notes
adm,Administrative Ability,character,,good,
allowed_to_become_shogun,Allowed to Become Shōgun,character,boolean,good,
art_creation_speed,Creation Speed of Art,character,,"percent, good",
artist_impact,Direct Impact of Art,character,,"percent, good",
artist_monthly_start_chance,Artist Monthly Start Chance,character,,"percent, good",
artist_salary_modifier_on_character,Salary as Artist,character,,"percent, bad",
artist_skill_level_gain,Artist Skill Development,character,,"raw percent, good",
block_from_crown_estate,Blocked from Crown,character,boolean,good,
block_marrying_lowborn,Blocked from Marriage with Lowborn,character,boolean,bad,
blocked_from_being_leader,Can Not Lead Armies or Navies,character,boolean,bad,
blocked_from_being_ruler,Blocked from Rulership,character,boolean,bad,
blocked_from_cabinet,Blocked from Cabinet,character,boolean,bad,
blocked_from_character_interactions,Blocked from Interactions,character,boolean,bad,
blocked_from_marriage,Blocked from Marriage,character,boolean,bad,
blocked_from_ruling_the_hre,Banned from Ruling the Empire,character,boolean,bad,
byz_born_in_the_purple,Born in the Purple,character,boolean,good,
cabinet_trait_impact_modifier,Cabinet Trait Impact,character,multiplicative,"percent, good",
can_assume_fort_command_character,Can Assume Fort Command,character,boolean,good,
cannot_be_removed_from_from_cabinet,Cannot be Removed from Cabinet,character,boolean,neutral,
character_adm_child_education,Administrative Ability Increase During Education,character,,good,
character_blocked_from_high_kingship,Blocked from High Kingship,character,boolean,bad,
character_cabinet_efficiency,Efficiency in Cabinet,character,,"percent, good",
character_child_education,Ability Increase During Education,character,,good,
character_dip_child_education,Diplomatic Ability Increase During Education,character,,good,
character_fertility,Fertility,character,,"raw percent, good",
character_life_expectancy,Character Life Expectancy,character,,good,
character_mil_child_education,Military Ability Increase During Education,character,,good,
character_overthrew_high_king,High Kingship Leader Vote Weight,character,boolean,good,
commander_combat_bonus,Commander Combat Bonus,character,,good,
dip,Diplomatic Ability,character,,good,
force_allow_as_leader,Can Always be a Military Leader,character,boolean,good,
fort_assumed_efficiency_character,Assume Fort Command Efficiency,character,,"percent, good",
hire_for_cabinet_cost_modifier,Hire to Cabinet Cost Modifier,character,multiplicative,"percent, bad",
ignore_gender_block_cabinet,Ignore Gender Limitation for Cabinet,character,boolean,good,
ignore_gender_block_leader,Ignore Gender Limitation for Military Command,character,boolean,good,
is_appointed_as_heir,Is Appointed as Heir,character,boolean,good,
is_head_of_cabinet,Is Head of the Cabinet,character,boolean,good,
is_immortal,Is Immortal,character,boolean,good,
is_in_chivalric_order,Is in a Chivalric Order,character,boolean,neutral,
is_praefecta,Is Praefecta,character,boolean,good,
marriage_desirability,Marriage Desirability,character,,good,
mil,Military Ability,character,,good,
prevented_from_being_heir,Prevented from Being Heir,character,boolean,neutral,
sheikh_ul_islam_modifier,Šayḵ al-Islām,character,multiplicative,good,
work_of_art_quality_modifier,Quality of Art,character,multiplicative,"percent, good",
