eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,
absorb_institutions_cost_modifier,Absorb Institutions,country,multiplicative,"percent, good",
accept_subjugation_reasons,Accept Subjugation Reasons,country,,good,
activate_avatar_cost_modifier,Activate Avatar Cost,country,multiplicative,"percent, bad",
add_accepted_culture_cost_modifier,Add Accepted Culture Cost,country,multiplicative,"percent, bad",
add_location_to_international_organization_cost_modifier,Add Location to International Organization Cost,country,multiplicative,"percent, bad",
add_religious_aspect_christian_cost_modifier,Cost of Adding Religious Aspect,country,multiplicative,"percent, bad",
add_religious_aspect_hellenism_cost_modifier,Cost of Adding Religious Aspect,country,multiplicative,"percent, bad",
add_religious_aspect_inti_cost_modifier,Cost of Choosing Worshipping a God,country,multiplicative,"percent, bad",
add_tolerated_culture_cost_modifier,Add Tolerated Culture Cost,country,multiplicative,"percent, bad",
aggressiveness_modifier,Aggressiveness,country,multiplicative,"percent, bad",
aid_colonial_war_cost_modifier,Aid Colonial War Efforts Cost Modifier,country,multiplicative,"percent, bad",
allelengyon_bureaucracy_impact_modifier,Allelengyon Impact,country,multiplicative,"percent, good",
allow_assembly_parliament,Allow Assembly Parliament,country,boolean,good,
allow_autocratic_parliament,Allow Autocratic Parliament,country,boolean,good,
allow_bureaucracy,Allow Bureaucracy,country,boolean,good,
allow_cabinet_assimilate_area,Assimilate Area,country,boolean,good,
allow_cabinet_diplomatic_corps,Diplomatic Corps,country,boolean,good,
allow_cabinet_naval_focus,Maritime Support,country,boolean,good,
allow_cabinet_reduced_paperwork,Reduced Paperwork,country,boolean,good,
allow_cabinet_soldiers_as_workforce,Soldiers as Workforce,country,boolean,good,
allow_conquistadors,Can Recruit Conquistadors,country,boolean,good,
allow_constitutional_parliament,Allow Constitutional Parliament,country,boolean,good,
allow_council_parliament,Allow Council Parliament,country,boolean,good,
allow_diplomacy_force_change_court_language,Force Change Court Language,country,boolean,good,
allow_diplomacy_force_divert_trade,Force Divert Trade,country,boolean,good,
allow_diplomacy_force_embargo,Force Embargo,country,boolean,good,
allow_diplomacy_influence_nation,Influence Country,country,boolean,good,
allow_diplomacy_violate_sovereignty,Violate Sovereignty,country,boolean,good,
allow_estate_parliament,Allow Estate Parliament,"country, estate",boolean,good,
allow_extensive_conscription_cabinet_action,Allows Extensive Conscription,country,boolean,good,
allow_female_cabinet,Allow Females in Cabinet,country,boolean,good,
allow_female_leader,Allow Females to Command,country,boolean,good,
allow_harmony,Enable Harmony,country,boolean,good,
allow_landfriede,Can Enforce Landfriede,country,boolean,good,
allow_male_cabinet,Allow Males in Cabinet,country,boolean,good,
allow_male_leader,Allow Males to Command,country,boolean,good,
allow_mysticism_vs_jurisprudence,Allow Mysticism vs Jurisprudence,country,boolean,good,
allow_native_subjugation_cb,Native Subjugation Casus Belli,country,boolean,good,
allow_open_sea_exploration,Allows Open Sea Exploration,country,boolean,good,
allow_paik_levies,Allow Paik Levies,country,boolean,good,
allow_privateers_slave_raid,Privateers Will Raid for Slaves,country,boolean,good,
allow_rgo_slave_demand,Slaves working with Raw Materials,country,boolean,good,
allow_righteousness,Enable Righteousness,country,boolean,good,
allow_roman_movement,Allow Latin Revival Movement,country,boolean,good,
allow_safe_refuge_cost_modifier,Cost of Allow Safe Refuge Action,country,multiplicative,"percent, bad",
allow_self_control,Enable Self Control,country,boolean,good,
allow_slave_conversion,Allow Conversion of Slaves,country,boolean,good,
allow_smartism_gods,Enable Smartism Gods,country,boolean,good,
allow_subjects,Can Get Subjects,country,boolean,good,
allow_thema_headquarters,Allows Théma Headquarters,country,boolean,good,
allow_tributary_subject,Allow Tributary Subjects,country,boolean,good,
allow_tribute_in_silver,May Demand Silver Tribute,country,boolean,good,
allowed_alliance,Can Sign Alliance,country,boolean,good,
allowed_enforce_peace,Can Enforce Peace,country,boolean,good,
allowed_guarantee,Can Guarantee,country,boolean,good,
allowed_intervene_in_war,Can Intervene in War,country,boolean,good,
allowed_support_rebels,Can Support Rebels,country,boolean,good,
allowed_threaten_war,Can Threaten War,country,boolean,good,
allows_hanseatic_federation_buildings,Allows Hanseatic Federation Buildings,country,boolean,good,
always_allow_army_levies,Army Levies Always Allowed,country,boolean,good,
always_allow_levies,All Levies Always Allowed,country,boolean,good,
always_allow_navy_levies,Navy Levies Always Allowed,country,boolean,good,
amount_looted_modifier,Amount Looted,unit,multiplicative,"percent, good",
annexation_speed_base,Speed of Annexation,country,,good,
annexation_speed_modifier,Speed of Annexation,country,multiplicative,"percent, good",
antagonism_breaking_truce_giving_modifier,Antagonism Given from Breaking Truce Modifier,country,multiplicative,"percent, neutral",
antagonism_culture_influence,Antagonism Culture Influence,country,,"percent, neutral",
