eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,eu5_notes
absentee_agenda_impact,Agenda Impact for Absentee,internationalorganization,,"percent, good",
absentee_can_participate_in_parliament,Absentee in Parliament,internationalorganization,boolean,good,
allow_member_call_parliament,Allow Members to Call Parliament,internationalorganization,boolean,neutral,
allow_overrule_imperial_diet,Can Overrule the Imperial Diet,internationalorganization,boolean,good,
allow_self_vote,Allow Self Voting,internationalorganization,boolean,good,
archbishop_elector_agenda_impact,Agenda Impact for Archbishop-Elector,internationalorganization,,"percent, good",
archbishop_elector_can_participate_in_parliament,Archbishop-Elector in Parliament,internationalorganization,boolean,good,
available_organization_parliament_agendas,Available Organization Parliament Agendas,internationalorganization,,good,
bishopric_agenda_impact,Agenda Impact for Bishopric,internationalorganization,,"percent, good",
bishopric_can_participate_in_parliament,Bishopric in Parliament,internationalorganization,boolean,good,
can_call_organization_parliament,Can Call Organization Parliament,internationalorganization,boolean,good,
cannot_declare_no_cb_wars_on_members,Forbidden Unjustified Wars Against Other Members,internationalorganization,boolean,neutral,
celestial_governor_agenda_impact,Agenda Impact for Celestial Governor,internationalorganization,,"percent, good",
celestial_governor_can_participate_in_parliament,Celestial Governor in Parliament,internationalorganization,boolean,good,
curia_agenda_impact,Agenda Impact for Curia,internationalorganization,,"percent, good",
curia_can_participate_in_parliament,Curia in Parliament,internationalorganization,boolean,good,
direct_excommunication_allowed,Direct Excommunication Allowed,internationalorganization,boolean,neutral,
elector_agenda_impact,Agenda Impact for Prince-Elector,internationalorganization,,"percent, good",
elector_can_participate_in_parliament,Prince-Elector in Parliament,internationalorganization,boolean,good,
emperor_agenda_impact,Agenda Impact for Emperor,internationalorganization,,"percent, good",
emperor_can_participate_in_parliament,Emperor in Parliament,internationalorganization,boolean,good,
enable_annexation_of_members,Enable Annexation of Members,internationalorganization,boolean,neutral,
enabled_negotiate_succession_law,Enabled Negotiate Succession Law,internationalorganization,boolean,good,
enabled_union_enforcement_actions,Enabled Union Enforcement Actions,internationalorganization,boolean,good,
enforced_internal_peace,Enforced Internal Peace,internationalorganization,boolean,neutral,
excommunication_disabled,Excommunication Disabled,internationalorganization,boolean,neutral,
forbid_multiple_policies_vote,Forbid Multiple Policies Vote,internationalorganization,boolean,neutral,
free_city_agenda_impact,Agenda Impact for Free Imperial City,internationalorganization,,"percent, good",
free_city_can_participate_in_parliament,Free Imperial City in Parliament,internationalorganization,boolean,good,
has_international_parliament,Has International Parliament,internationalorganization,boolean,good,
high_king_agenda_impact,Agenda Impact for High King,internationalorganization,,"percent, good",
high_king_can_participate_in_parliament,High King in Parliament,internationalorganization,boolean,good,
hre_allow_female_emperors,Allow Empresses,internationalorganization,boolean,good,
hre_emperor_comfort_policies_counter,Emperor-Comfort Policies,internationalorganization,,neutral,
hre_enable_leave_hre_peace_treaty,Enable Leave the Holy Roman Empire Peace,internationalorganization,boolean,good,
hre_imperial_armory_level,Imperial Army Building Available Level,internationalorganization,,good,
hre_max_archbishop_elector,Max Archbishop-Elector,internationalorganization,,neutral,
hre_max_elector,Max Prince-Elector,internationalorganization,,neutral,
ilkhan_claimant_agenda_impact,Agenda Impact for Claimant to the Īlkhānān,internationalorganization,,"percent, good",
ilkhan_claimant_can_participate_in_parliament,Claimant to the Īlkhānān in Parliament,internationalorganization,boolean,good,
imperial_ban_allowed,Enable Imperial Ban,internationalorganization,boolean,good,
imperial_peasant_republic_agenda_impact,Agenda Impact for Imperial Peasant Republic,internationalorganization,,"percent, good",
imperial_peasant_republic_can_participate_in_parliament,Imperial Peasant Republic in Parliament,internationalorganization,boolean,good,
imperial_prelate_agenda_impact,Agenda Impact for Imperial Prelate,internationalorganization,,"percent, good",
imperial_prelate_can_participate_in_parliament,Imperial Prelate in Parliament,internationalorganization,boolean,good,
imperial_prince_agenda_impact,Agenda Impact for Imperial Prince,internationalorganization,,"percent, good",
imperial_prince_can_participate_in_parliament,Imperial Prince in Parliament,internationalorganization,boolean,good,
japanese_emperor_agenda_impact,Agenda Impact for Tennō,internationalorganization,,"percent, good",
japanese_emperor_can_participate_in_parliament,Tennō in Parliament,internationalorganization,boolean,good,
junior_partner_agenda_impact,Agenda Impact for Junior Partner,internationalorganization,,"percent, good",
junior_partner_can_participate_in_parliament,Junior Partner in Parliament,internationalorganization,boolean,good,
legatus_natus_agenda_impact,Agenda Impact for Legatus Natus,internationalorganization,,"percent, good",
legatus_natus_can_participate_in_parliament,Legatus Natus in Parliament,internationalorganization,boolean,good,
lieutenant_agenda_impact,Agenda Impact for Lieutenant,internationalorganization,,"percent, good",
lieutenant_can_participate_in_parliament,Lieutenant in Parliament,internationalorganization,boolean,good,
lord_of_ireland_agenda_impact,Agenda Impact for Lord of Ireland,internationalorganization,,"percent, good",
lord_of_ireland_can_participate_in_parliament,Lord of Ireland in Parliament,internationalorganization,boolean,good,
loyalist_agenda_impact,Agenda Impact for Loyalist,internationalorganization,,"percent, good",
loyalist_can_participate_in_parliament,Loyalist in Parliament,internationalorganization,boolean,good,
member_agenda_impact,Agenda Impact for Members,internationalorganization,,"percent, good",
member_can_participate_in_parliament,Member in Parliament,internationalorganization,boolean,good,
military_order_agenda_impact,Agenda Impact for Military Order,internationalorganization,,"percent, good",
military_order_can_participate_in_parliament,Military Order in Parliament,internationalorganization,boolean,good,
