eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,eu5_notes
blockade_force_required,Blockade Force Required,location,,good,
blocks_privateer_raids,Blocks Privateer Raids,location,boolean,good,
blocks_vision_from_land,Blocks Vision from Land,location,boolean,good,
blocks_vision_from_sea,Blocks Vision from Sea,location,boolean,good,
building_enslavement_power,Monthly Enslavement,location,,good,
building_missionary_effort,Monthly Religious Conversion,location,,good,
building_missionary_effort_scaled,Monthly Religious Conversion %,location,scaled,"percent, good",
building_owner_maritime_presence,Maritime Presence to Owner,location,,good,
building_owner_overlord_maritime_presence,Maritime Presence for the Overlord,location,,good,
can_build_ships_in_this_location,Can Build Ships Here,location,boolean,good,
can_recruit_regiment_in_this_location,Can Recruit Regiments Here,location,boolean,good,
cannot_upgrade_location,Cannot Upgrade Location,location,boolean,bad,
cap_maximum_population_growth_at_zero,No Possible Population Growth,location,boolean,bad,
constructions_stalled,Constructions Stalled,location,boolean,good,
fort_level,Fort Level,location,,good,
free_building_levels,Supported Building Levels,location,,good,
free_capacity_attracts_pops,Available Land is Attractive,location,boolean,good,
friendly_disembark_time_modifier,Friendly Disembark Time Modifier,location,multiplicative,"percent, bad",
gives_cardinal,Grants Cardinal,location,boolean,neutral,
gold_to_building_owner,Gold to Owner,location,,good,
gold_to_building_owner_overlord,Gold to Building Overlord,location,,good,
growth_is_primary_culture,Only Primary & Accepted Pops can Grow,location,boolean,good,
harbor_suitability,Harbor Capacity,location,,good,
has_parliament_seat,Parliament Seat,location,boolean,good,
hostile_disembark_time_modifier,Hostile Disembark Time Modifier,location,multiplicative,"percent, good",
hostile_fleet_attrition,Hostile Naval Attrition,location,,"raw percent, bad",
hostile_food_multiplier,Total Food Multiplier,location,,"raw percent, good",
local_alum_output_modifier,Local Alum Output,location,multiplicative,"percent, good",
local_amber_output_modifier,Local Amber Output,location,multiplicative,"percent, good",
local_army_attrition,Army Attrition,location,,"raw percent, bad",
local_army_levy_size_modifier,Army Levy Size,location,multiplicative,"percent, good",
local_beer_output_modifier,Local Beer Output,location,multiplicative,"percent, good",
local_beeswax_output_modifier,Beeswax Output,location,multiplicative,"percent, good",
local_books_output_modifier,Local Books Output,location,multiplicative,"percent, good",
