eu5_tag,eu5_name,eu5_culture,eu5_religion
DLH,Delhi,dehlavi,sunni
HSL,Hoysala,kannadiga,hindu
SMV,Sumbuvaraya,tamil,hindu
VIJ,Vijayanagar,kannadiga,hindu
MAB,Mabar,haryanvi_culture,sunni
TNK,Pandya,tamil,hindu
RDY,Reddy,telugu,hindu
YDR,Yadavaraya,telugu,hindu
ZMR,Calicut,malayali,hindu
KLT,Kolathanadu,malayali,hindu
PDU,Cochin,malayali,hindu
VND,Venad,malayali,hindu
KTN,Kuttanad,malayali,hindu
KDU,Kodungallur,malayali,hindu
KYA,Kottayam,malayali,hindu
VLD,Valluvanad,malayali,hindu
ELA,Elayadathu,malayali,hindu
TKU,Tekkumkur,malayali,hindu
VDK,Vadukkumkur,malayali,hindu
ALU,Alupa,tuluva,hindu
STR,Santara,tuluva,jain
KPL,Koppula,telugu,hindu
MSN,Musuniri,telugu,hindu
RCH,Recherla,telugu,hindu
ORI,Orissa,orissan,hindu
KNK,Kanker,chhattisgarhi,hindu
BST,Bastar,chhattisgarhi,hindu
JPO,Silavamsa,orissan,hindu
BGL,Baglana,marathi_culture,hindu
CHD,Chanda,gond,koyapunem_religion
BGR,Bandhugara,marathi_culture,hindu
WRG,Wairagarh,gond,koyapunem_religion
GOA,Goa,konkani,hindu
HNV,Honnavar,konkani,sunni
DRP,Dharampur,bhil,hindu
JWR,Jawhar,bhil,hindu
DGR,Bagar,bhil,hindu
MEW,Mewar,mewari,hindu
IDR,Idar,gujarati,hindu
JLR,Jalor,marwari,hindu
CMN,Champaner,gujarati,hindu
RJI,Rajpipla,gujarati,hindu
KUT,Kutch,sindhi,hindu
SMA,Samma,sindhi,sunni
SND,Sindh,sindhi,shia
RNP,Ranpur,gujarati,hindu
GHL,Gohilvad,gujarati,hindu
PLT,Palitana,gujarati,hindu
JNG,Junagarh,gujarati,hindu
BHD,Bhanvad,gujarati,hindu
JLW,Jhalawad,gujarati,hindu
MRW,Marwar,marwari,hindu
HAD,Bundi,harauti,hindu
JSL,Jaisalmer,marwari,hindu
KLI,Karauli,braji,hindu
SHR,Saharan,shekhawati,hindu
DRW,Dadrewa,bagri,
BWL,Beniwal,bagri,
JHI,Johiya,bagri,
GDA,Godara,bagri,
PNA,Punia in Jangladesh,bagri,
BHA,Bhatnir,bagri,sunni
DOG,Dogra,kangri,
DHU,Dhundhar,dhundhari,hindu
GWA,Gwalior,bundeli,hindu
JJK,Jejakabhukti,bundeli,hindu
BND,Bundelkhand,bundeli,hindu
BGK,Bagelkhand,bagheli,hindu
MAU,Mau Ganj,bagheli,hindu
KHR,Kherla,gond,hindu
GHR,Garha,gond,hindu
RTP,Ratanpur,chhattisgarhi,hindu
BAD,Baudh,orissan,hindu
NRS,Narsinghpur,orissan,hindu
KJA,Keonjhar,chhattisgarhi,hindu
PTN,Patna,orissan,hindu
PRT,Mandore,marwari,hindu
KLH,Kalahandi,orissan,hindu
SRG,Saranghar,gond,koyapunem_religion
PLA,Pal Lahara,orissan,hindu
BNA,Bonai,chhattisgarhi,hindu
MJU,Mayurbhanj,chhattisgarhi,hindu
DBD,Dambadeniya,sinhalese,theravada
JFN,Jaffna,tamil,hindu
NAG,Nagar,kashmiri_culture,
SWT,Swat,kashmiri_culture,sunni
HNZ,Hunza,kashmiri_culture,shia
CTR,Chitral,kashmiri_culture,sunni
CRL,Lower Chitral,kashmiri_culture,
GLI,Gilgit,kashmiri_culture,shia
KSH,Kashmir,kashmiri_culture,
RJR,Rajouri,kashmiri_culture,sunni
PNC,Punch,kashmiri_culture,hindu
CBH,Chibhal,kashmiri_culture,hindu
CAB,Chamba,kangri,hindu
LHL,Lahul,kangri,tibetan_buddhism
KLU,Kullu,kangri,hindu
KSW,Kishtwar,kashmiri_culture,hindu
SKT,Suket,kangri,hindu
BSP,Bilaspur,kangri,hindu
KTL,Kutlehar,kangri,hindu
KGR,Kangra,kangri,hindu
NRP,Nurpur,kangri,hindu
