eu5_tag,eu5_name,eu5_culture,eu5_religion
KHM,Khmer,khmer_culture,theravada
CHA,Champa,cham_culture,hindu
DAI,Dai Viet,vietnamese_culture,mahayana
SUK,Sukhothai,thai_culture,theravada
LNA,Lan Na,khon_muang_culture,theravada
LAV,Lavo,thai_culture,theravada
ADH,Ayodhya,thai_culture,theravada
PEG,Pegu / Hanthawaddy,mon_culture,theravada
SNG,Singapura,malay_culture,hindu
LIG,Ligor,dambro_culture,theravada
LGK,Langkasuka,malay_culture,hindu
KED,Kedah,malay_culture,sunni
PAH,Pahang,malay_culture,mahayana
SPN,Suphanburi,thai_culture,theravada
ARK,Arakan / Launggyet,rakhine_culture,theravada
PIN,Pinya,burmese_culture,theravada
SAG,Sagaing,burmese_culture,theravada
TNG,Toungoo,burmese_culture,theravada
BPR,Prome,burmese_culture,theravada
PHY,Phayao,khon_muang_culture,theravada
PUA,Pua (Nan),khon_muang_culture,theravada
MUA,Muang Sua,lao_culture,mahayana
VTN,Vientiane,lao_culture,mahayana
CBK,Nguu Hong (Cobra Kingdom),dai_culture,satsana_phi
MYA,Mongyang,tai_nua_culture,satsana_phi
MKA,Mongkawng,tai_nua_culture,satsana_phi
HKM,Hkamti,tai_nua_culture,satsana_phi
MKN,Mong Kong,tai_nua_culture,satsana_phi
HHP,Hsawng Hsup,tai_nua_culture,satsana_phi
HSE,Hsenwi,tai_nua_culture,satsana_phi
HSI,Hsipaw,tai_long_culture,satsana_phi
MNI,Mongnai,tai_long_culture,satsana_phi
MGT,Mongmit,tai_nua_culture,satsana_phi
KAL,Kale,tai_nua_culture,satsana_phi
WNT,Wuntho,tai_nua_culture,satsana_phi
BHM,Bhamo,tai_nua_culture,satsana_phi
KTG,Kengtung,tai_lu_culture,satsana_phi
MLM,Mong Lem,tai_nua_culture,satsana_phi
WAS,Wa,wa_culture,wa_religion
JGP,Jingpo / Jinghpaw / Kachin,jingpo_culture,jingpo_religion
KRN,Karen,karen_culture,karen_religion
MUO,Muong,muong_culture,muong_religion
ASL,Orang Asli,orang_asli_culture,orang_asli_religion
ZOO,Zo,zo_culture,mizo_religion
ZHU,Zhuang,zhuang_culture,moism
MLB,Kangleipak (Manipur),meitei_culture,sanamahism
BES,Beruas,malay_culture,hindu
MNJ,Manjung,malay_culture,hindu
PTC,Petchaburi,thai_culture,theravada
TSM,Tenasserim,mon_culture,theravada
DEG,Degar,degar_culture,degar_religion
BHN,Bahnar,bahnar_culture,bahnar_religion
SED,Bahnar,sedang_culture,sedang_religion
BVK,Bru,bru_culture,bru_religion
KUY,Kuy,kuy_culture,satsana_phi
KMU,Khmu,khmu_culture,satsana_phi
NAA,Naga,naga_culture,naga_religion
