tag,change,name,file,culture,religion
ABRIN,added,Yerezrum,caucasus.txt,armenian_culture,miaphysite
ABALP,added,,crescent.txt,syriac_culture,orthodox
ABQUD,added,,crescent.txt,levantine_culture,sunni
ABLEB,added,,crescent.txt,syriac_culture,catholic
ABDMQ,added,,crescent.txt,levantine_culture,sunni
ABLTK,added,,crescent.txt,alawite_culture,shia
ABGEG,added,,crescent.txt,kurdish_culture,sunni
ABDZZ,added,,crescent.txt,iraqi_culture,sunni
ABTDM,added,,crescent.txt,levantine_culture,sunni
ABABR,added,,crescent.txt,iraqi_culture,sunni
ABTBU,added,,crescent.txt,hijazi_culture,sunni
ABASK,added,Ashikaga,east_asia.txt,saigoku_culture,shinto
ABECP,added,East China,east_asia.txt,jianghuai_culture,sanjiao
ABWCP,added,West China,east_asia.txt,shu_culture,sanjiao
ABSCP,added,South China,east_asia.txt,yuehai_culture,sanjiao
ABNCP,added,North China,east_asia.txt,zhongyuan_culture,sanjiao
ABYRK,added,Yarkand,east_asia.txt,khorezmian_culture,sunni
ABGNS,added,Gansu,east_asia.txt,liang_culture,sanjiao
ABTUM,added,Tumed,east_asia.txt,tumed_culture,tengri
ABKHA,added,Kharchin,east_asia.txt,kharchin_culture,tengri
ABILL,added,Silla,east_asia.txt,korean_culture,mahayana
ABHUJ,added,Huju,east_asia.txt,jurchen_culture,tungusic_shamanism
ABBAB,added,Bairab,east_asia.txt,changpa_culture,tibetan_buddhism
ABCGP,added,Changpa,east_asia.txt,changpa_culture,tibetan_buddhism
ABGYH,added,Gyahor,east_asia.txt,amdowa_culture,tibetan_buddhism
ABTSD,added,Tsaidam,east_asia.txt,amdowa_culture,tibetan_buddhism
ABHNG,added,Hangzhou,east_asia.txt,shu_culture,sanjiao
ABCHU,added,Chu,east_asia.txt,chu_culture,sanjiao
ABXAN,added,Xi'an,east_asia.txt,jiangshan_culture,sanjiao
ABPCG,added,Pucheng,east_asia.txt,chuzhou_culture,sanjiao
ABJNH,added,Jinhua,east_asia.txt,wuzhou_culture,sanjiao
ABCUN,added,Chun'an,east_asia.txt,jixi_culture,sanjiao
ABSRO,added,Shangrao,east_asia.txt,jiangshan_culture,sanjiao
ABSHX,added,Shaoxing,east_asia.txt,yue_wu_culture,sanjiao
ABBCG,added,Baochang,east_asia.txt,kejia_culture,sanjiao
