tag,name,file,culture,religion
DUMMY,,_default.txt,,
PIR,,_default.txt,,
MER,,_default.txt,,
SWE,,_scandinavia.txt,swedish,catholic
DAN,,_scandinavia.txt,danish,catholic
SKE,,_scandinavia.txt,danish,catholic
NOR,,_scandinavia.txt,norwegian,catholic
FIN,,_scandinavia.txt,finnish,catholic
BJA,,_scandinavia.txt,bjarmian,muinaisusko
TAV,,_scandinavia.txt,tavastian,muinaisusko
KVE,,_scandinavia.txt,kvens,muinaisusko
SVO,,_scandinavia.txt,savonian,muinaisusko
ICE,,_scandinavia.txt,icelandic,catholic
GRL,,_scandinavia.txt,icelandic,catholic
SMI,,_scandinavia.txt,sapmi,sapmi_shamanism
AHI,,anatolia.txt,turkish_culture,shia
ALY,,anatolia.txt,turkish_culture,sunni
ATQ,,anatolia.txt,turkish_culture,sunni
AYD,,anatolia.txt,turkish_culture,sunni
BFR,,anatolia.txt,turkoman_culture,sunni
CIL,,anatolia.txt,armenian_culture,miaphysite
CND,,anatolia.txt,turkish_culture,sunni
CYP,,anatolia.txt,poitevin,catholic
DIL,,anatolia.txt,turkish_culture,sunni
DUL,,anatolia.txt,turkish_culture,shia
ERE,,anatolia.txt,turkish_culture,sunni
GRM,,anatolia.txt,turkish_culture,sunni
HMD,,anatolia.txt,turkish_culture,sunni
HCI,,anatolia.txt,turkoman_culture,sunni
HSN,,anatolia.txt,kurdish_culture,sunni
INA,,anatolia.txt,turkish_culture,sunni
KAR,,anatolia.txt,turkish_culture,sunni
KBD,,anatolia.txt,turkoman_culture,sunni
KRD,,anatolia.txt,turkish_culture,sunni
MEN,,anatolia.txt,turkish_culture,sunni
SHP,,anatolia.txt,turkish_culture,sunni
SRU,,anatolia.txt,turkish_culture,sunni
SUT,,anatolia.txt,mongolian_culture,sunni
TDJ,,anatolia.txt,turkish_culture,sunni
TEK,,anatolia.txt,turkish_culture,sunni
TRE,,anatolia.txt,pontic_greek_culture,orthodox
TUR,,anatolia.txt,turkish_culture,sunni
BHT,,anatolia.txt,kurdish_culture,yazidism
BIN,,anatolia.txt,kurdish_culture,sunni
BIT,,anatolia.txt,kurdish_culture,sunni
CEM,,anatolia.txt,kurdish_culture,sunni
DSN,,anatolia.txt,kurdish_culture,yazidism
DMB,,anatolia.txt,kurdish_culture,yazidism
EGL,,anatolia.txt,kurdish_culture,sunni
HKK,,anatolia.txt,kurdish_culture,sunni
HZN,,anatolia.txt,kurdish_culture,sunni
HZR,,anatolia.txt,kurdish_culture,sunni
JLM,,anatolia.txt,kurdish_culture,sunni
MZJ,,anatolia.txt,kurdish_culture,sunni
MUS,,anatolia.txt,kurdish_culture,sunni
SOH,,anatolia.txt,kurdish_culture,sunni
ZRQ,,anatolia.txt,kurdish_culture,sunni
ZZR,,anatolia.txt,kurdish_culture,sunni
KIL,,anatolia.txt,kurdish_culture,sunni
TVS,,anatolia.txt,turkish_culture,sunni
QTO,,andes.txt,quitu_culture,pi_religion
CHM,,andes.txt,chimu_culture,inti
XLL,,andes.txt,xllang_culture,naylamp_religion
CYA,,andes.txt,sacha_p_qulla_culture,inti
TLN,,andes.txt,tallan_culture,pi_religion
ICM,,andes.txt,ychsma_culture,inti
WAN,,andes.txt,wanka_culture,inti
HNK,,andes.txt,chanka_culture,chanka_religion
URC,,andes.txt,chanka_culture,chanka_religion
CIC,,andes.txt,chincha_culture,chincha_religion
CSU,,andes.txt,inka_culture,inti
AYA,,andes.txt,wari_culture,inti
PIG,,andes.txt,wari_culture,inti
PCJ,,andes.txt,aimara_culture,inti
LUP,,andes.txt,aimara_culture,inti
OMG,,andes.txt,omaguaca_culture,cebil_religion
CAV,,andes.txt,palta_culture,pi_religion
MLT,,andes.txt,palta_culture,pi_religion
GRR,,andes.txt,palta_culture,pi_religion
MNT,,andes.txt,manta_culture,umina_religion
GCV,,andes.txt,guancavilca_culture,umina_religion
BBA,,andes.txt,guancavilca_culture,umina_religion
