region,tags,age,advance,eu5_modifiers,eu4_modifiers
india_bengal,BNG,1,abm_bng_ideas_tradition_1,army_heavy_infantry_power=0.10,infantry_power=0.1
india_bengal,BNG,1,abm_bng_ideas_tradition_2,global_manpower_modifier=0.10,global_manpower_modifier=0.15
india_bengal,BNG,2,abm_bng_combat_piracy,trade_income=0.10,trade_efficiency=0.1
india_bengal,BNG,2,abm_bng_habshi_generals,monthly_army_tradition=0.05,army_tradition=0.5
india_bengal,BNG,3,abm_bng_clearing_the_delta,town_upgrade_cost_modifier=-0.10|city_upgrade_cost_modifier=-0.10|megalopolis_upgrade_cost_modifier=-0.10,development_cost=-0.1
india_bengal,BNG,3,abm_bng_attract_sufis,clergy_estate_target_satisfaction=medium_permanent_target_satisfaction,idea_cost=-0.1
india_bengal,BNG,4,abm_bng_conquest_of_the_gangetic_plain,army_initiative=0.10,leader_land_shock=1
india_bengal,BNG,4,abm_bng_rupees,global_estate_max_tax=0.10,global_tax_modifier=0.1
india_bengal,BNG,5,abm_bng_bengali_industrialization,global_max_rgo_size_modifier_in_non_rural=0.20,global_trade_goods_size_modifier=0.1
india_bengal,BNG,6,abm_bng_ideas_ambition,army_artillery_power=0.15,backrow_artillery_damage=0.15
india_bengal,STN|BHP|SGN|TRF|GAU,1,abm_bengali_ideas_tradition_1,global_merchant_capacity_modifier=0.10,merchants=1
india_bengal,STN|BHP|SGN|TRF|GAU,1,abm_bengali_ideas_tradition_2,army_light_infantry_power=0.10,infantry_power=0.1
india_bengal,STN|BHP|SGN|TRF|GAU,2,abm_hindu_sufi_syncretism,clergy_estate_target_satisfaction=medium_permanent_target_satisfaction,religious_unity=0.5
india_bengal,STN|BHP|SGN|TRF|GAU,2,abm_ganges_brahmaputra_confluence,trade_sea_efficiency=medium_trade_sea_efficiency_bonus|trade_land_efficiency=medium_trade_land_efficiency_bonus,trade_efficiency=0.1
india_bengal,STN|BHP|SGN|TRF|GAU,3,abm_rice_fields,global_rice_output_modifier=0.20,global_manpower_modifier=0.2
india_bengal,STN|BHP|SGN|TRF|GAU,3,abm_mustard_oil_ilish_mach,monthly_war_exhaustion=-0.05,war_exhaustion_cost=-0.10
india_bengal,STN|BHP|SGN|TRF|GAU,4,abm_jute_production,tax_income_efficiency=medium_tax_income_efficiency_bonus,
india_bengal,STN|BHP|SGN|TRF|GAU,4,abm_opium_fields,tax_income_efficiency=medium_tax_income_efficiency_bonus,global_tax_modifier=0.1
india_bengal,STN|BHP|SGN|TRF|GAU,5,abm_bengali_renaissance,absorb_institutions_cost_modifier=-0.10,global_institution_spread=0.1
india_bengal,STN|BHP|SGN|TRF|GAU,6,abm_bengali_ideas_ambition,monthly_prestige=0.1,prestige=1
india_bengal,KMA|AHO|LUR|JNT|DIM,1,abm_ass_ideas_tradition_1,global_levy_size_modifier=0.25,global_manpower_modifier=0.10
india_bengal,KMA|AHO|LUR|JNT|DIM,1,abm_ass_ideas_tradition_2,pop_join_rebel_threshold=-0.05,global_unrest=-1
india_bengal,KMA|AHO|LUR|JNT|DIM,2,abm_buranjis,diplomatic_reputation=diplomatic_reputation_mild_bonus,heir_chance=0.5
india_bengal,KMA|AHO|LUR|JNT|DIM,2,abm_wet_rice_cultivation,global_urban_build_buildings_efficiency=0.10,development_cost=-0.1
india_bengal,KMA|AHO|LUR|JNT|DIM,3,abm_river_warfare,military_tactics=0.15,hostile_attrition=1|shock_damage_received=-0.1
india_bengal,KMA|AHO|LUR|JNT|DIM,3,abm_reform_paik_system,movement_speed_if_no_road=0.20,manpower_recovery_speed=0.15
india_bengal,KMA|AHO|LUR|JNT|DIM,4,abm_process_of_appeal,stability_cost_efficiency=0.1,stability_cost_modifier=-0.1
india_bengal,KMA|AHO|LUR|JNT|DIM,4,abm_ahom_land_survey,tax_income_efficiency=large_tax_income_efficiency_bonus,global_tax_modifier=0.10
india_bengal,KMA|AHO|LUR|JNT|DIM,5,abm_ahom_diplomacy,monthly_diplomats=0.1,diplomats=1
india_bengal,KMA|AHO|LUR|JNT|DIM,6,abm_ass_ideas_ambition,diplomatic_reputation=diplomatic_reputation_mild_bonus,diplomatic_reputation=1
india_bengal,CUT,1,abm_sdy_ideas_tradition_1,trade_land_efficiency=medium_trade_land_efficiency_bonus,caravan_power=0.2
india_bengal,CUT,1,abm_sdy_ideas_tradition_2,global_hostile_attrition=1,hostile_attrition=1.0
india_bengal,CUT,2,abm_sdy_land_of_glory,land_morale_modifier=0.10,land_morale=0.1
india_bengal,CUT,2,abm_sdy_crossroad_of_religions,tolerance_heathen=2,tolerance_heathen=2
india_bengal,CUT,3,abm_sdy_hills_and_jungles,global_defensive=0.15,defensiveness=0.15
india_bengal,CUT,3,abm_sdy_temples,monthly_prestige=0.1,prestige=1
india_bengal,CUT,4,abm_sdy_dihang,export_efficiency=medium_trade_efficiency_bonus,trade_efficiency=0.1
india_bengal,CUT,4,abm_sdy_army_reform,army_heavy_infantry_power=0.1,infantry_power=0.1
india_bengal,CUT,5,abm_sdy_black_tea,global_tea_output_modifier=0.2,production_efficiency=0.1
india_bengal,CUT,6,abm_sdy_ideas_ambition,diplomatic_reputation=diplomatic_reputation_mild_bonus,diplomatic_reputation=1
india_bengal,MLB|ZOO,1,abm_mlb_ideas_tradition_1,amount_looted_modifier=0.25,loot_amount=0.25
india_bengal,MLB|ZOO,1,abm_mlb_ideas_tradition_2,army_maintenance_efficiency=0.10,shock_damage_received=-0.1
india_bengal,MLB|ZOO,2,abm_mlb_sanamahism,pop_join_rebel_threshold=-0.10,global_unrest=-1
india_bengal,MLB|ZOO,2,abm_mlb_martial_traditions,land_morale_modifier=0.10,land_morale=0.1
india_bengal,MLB|ZOO,3,abm_mlb_kingdom_of_the_meitei,monthly_devotion=0.10|monthly_legitimacy=0.10|monthly_republican_tradition=0.10,legitimacy=1|devotion=1|republican_tradition=0.3|meritocracy=1|horde_unity=1
india_bengal,MLB|ZOO,3,abm_mlb_mayek,tolerance_own=2,tolerance_own=2
india_bengal,MLB|ZOO,4,abm_mlb_unite_the_hill_tribes,global_manpower_modifier=0.1,global_manpower_modifier=0.1
india_bengal,MLB|ZOO,4,abm_mlb_bengali_influence,diplomatic_spending_cost=-0.010,diplomatic_upkeep=1
india_bengal,MLB|ZOO,5,abm_mlb_far_reaching_diplomacy,diplomatic_reputation=diplomatic_reputation_mild_bonus,diplomatic_reputation=1
india_bengal,MLB|ZOO,6,abm_mlb_ideas_ambition,global_defensive=0.15,defensiveness=0.15
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,1,abm_ori_ideas_tradition_1,global_production_efficiency=medium_production_efficiency_bonus,production_efficiency=0.1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,1,abm_ori_ideas_tradition_2,nobles_estate_levy_size=0.25,shock_damage_received=-0.1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,2,abm_lord_of_elephants,army_heavy_cavalry_power=0.10,infantry_power=0.1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,2,abm_servitor_of_jagganath,monthly_legitimacy=0.10|monthly_republican_tradition=0.10|monthly_devotion=0.10|monthly_horde_unity=0.10|monthly_tribal_cohesion=0.10,legitimacy=1|devotion=1|republican_tradition=0.3|meritocracy=1|horde_unity=1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,3,abm_parikshas,tax_income_efficiency=medium_tax_income_efficiency_bonus,global_tax_modifier=0.1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,3,abm_refined_cloth_production,global_max_rgo_size_modifier=0.10,global_trade_goods_size_modifier=0.1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,4,abm_patronize_temple_construction,monthly_prestige=0.10,prestige=1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,4,abm_encourage_salt_trade,trade_income=0.10,trade_efficiency=0.1
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,5,abm_heritage_of_the_sadhabas,navy_maintenance_efficiency=0.20,naval_forcelimit_modifier=0.25
india_bengal,JPO|BAD|PTN|PLA|KJA|MJU,6,abm_ori_ideas_ambition,import_efficiency=tiny_trade_efficiency_bonus,
india_bengal,PPA|JAN|MGY,1,abm_tpr_ideas_tradition_1,army_heavy_infantry_power=0.10,infantry_power=0.1
india_bengal,PPA|JAN|MGY,1,abm_tpr_ideas_tradition_2,global_hostile_attrition=1,hostile_attrition=1
india_bengal,PPA|JAN|MGY,2,tpr_rajmala,monthly_legitimacy=0.10|monthly_republican_tradition=0.10|monthly_devotion=0.10|monthly_horde_unity=0.10|monthly_tribal_cohesion=0.10,legitimacy=1|devotion=1|republican_tradition=0.3|meritocracy=1|horde_unity=1
india_bengal,PPA|JAN|MGY,2,tpr_adaptive_administration,tax_income_efficiency=0.10,global_tax_modifier=0.1
india_bengal,PPA|JAN|MGY,3,tpr_religious_syncretism,tolerance_heathen=2,tolerance_heathen=2
india_bengal,PPA|JAN|MGY,3,tpr_extended_army_control,global_levy_size_modifier=0.25,land_forcelimit_modifier=0.25
india_bengal,PPA|JAN|MGY,4,tpr_appointment_of_missips,state_maintenance_cost=-0.15,state_maintenance_modifier=-0.15
india_bengal,PPA|JAN|MGY,4,jute_production,global_production_efficiency=0.10,production_efficiency=0.1
india_bengal,PPA|JAN|MGY,5,tpr_strenghten_local_defences,global_defensive=0.20,defensiveness=0.2
india_bengal,PPA|JAN|MGY,6,abm_tpr_ideas_ambition,global_max_rgo_size_modifier=0.10,global_trade_goods_size_modifier=0.1
india_bengal,TWI|TRF,1,abm_trt_ideas_tradition_1,tax_income_efficiency=0.10,global_tax_modifier=0.10
india_bengal,TWI|TRF,1,abm_trt_ideas_tradition_2,tolerance_own=2,tolerance_own=2
india_bengal,TWI|TRF,2,trt_scholars_and_poets,hire_advisor_cost_modifier=-0.10,advisor_cost=-0.1
india_bengal,TWI|TRF,2,trt_gateway_to_india,trade_income=0.10,trade_efficiency=0.1
india_bengal,TWI|TRF,3,trt_brahmin_kings,monthly_prestige=0.10,prestige=1
india_bengal,TWI|TRF,3,trt_purbias,army_fire_damage=0.10,fire_damage=0.1
india_bengal,TWI|TRF,4,trt_river_landscape,global_hostile_attrition=1,hostile_attrition=1.0
india_bengal,TWI|TRF,4,trt_tirhuta,stability_cost_efficiency=0.10,stability_cost_modifier=-0.1
india_bengal,TWI|TRF,5,trt_indigo,global_max_rgo_size_modifier=0.10,global_trade_goods_size_modifier=0.1
india_bengal,TWI|TRF,6,abm_trt_ideas_ambition,diplomatic_reputation=diplomatic_reputation_weak_bonus,diplomatic_reputation=1
india_central,NAG,1,abm_nag_ideas_tradition_1,antagonism_received_modifier=-0.15,ae_impact=-0.15
india_central,NAG,1,abm_nag_ideas_tradition_2,land_morale=0.10,land_morale=0.15
india_central,NAG,2,abm_nag_unite_gonds_and_garjats,pop_join_rebel_threshold=-0.05,global_unrest=-2
india_central,NAG,2,abm_nag_harsh_terrain,army_movement_speed=0.1,leader_land_manuever=1
india_central,NAG,3,abm_nag_send_for_artisans,global_build_buildings_efficiency=0.10,build_cost=-0.1
