eu5_tag,eu5_name,advances,eu4_tag,eu4_name,eu4_culture_name,eu4_culture_key,ideaset,idea_key,eu5_culture,eu5_religion,plausibility(%)
VIJ,Vijayanagar,23,VIJ,Vijayanagar,,,Vijayanagar Ideas,VIJ_ideas,kannadiga,hindu,100
DLH,Delhi,13,DLH,Delhi,,,Delhian Ideas,DLH_ideas,dehlavi,sunni,100
ORI,Orissa,10,ORI,Orissa,,,Orissan Ideas,ORI_ideas,orissan,hindu,100
BGL,Baglana,6,BGA,Baglana,,,Gujarati Princedom Ideas,gujarati_ideas,marathi_culture,hindu,100
IDR,Idar,5,IDR,Idar,,,Gujarati Princedom Ideas,gujarati_ideas,gujarati,hindu,100
JNG,Junagarh,5,JGD,Junagarh,,,Gujarati Princedom Ideas,gujarati_ideas,gujarati,hindu,100
PLT,Palitana,5,PTL,Palitana,,,Gujarati Princedom Ideas,gujarati_ideas,gujarati,hindu,100
VND,Venad,1,VND,Venad,,,Malabari Ideas,malabari_ideas,malayali,hindu,100
ZMR,Calicut,1,MAB,Calicut,,,Malabari Ideas,malabari_ideas,malayali,hindu,100
BND,Bundelkhand,0,BND,Bundelkhand,,,Vindhyan Ideas,vindhyan_ideas,bundeli,hindu,100
BST,Bastar,0,BST,Bastar,,,Gond Ideas,central_indic_ideas,chhattisgarhi,hindu,100
CHD,Chanda,0,CHD,Chanda,,,Gond Ideas,central_indic_ideas,gond,koyapunem_religion,100
DHU,Dhundhar,0,DHU,Dhundhar,,,Dhundhari Ideas,DHU_ideas,dhundhari,hindu,100
GHR,Garha,0,GDW,Garha,,,Gond Ideas,central_indic_ideas,gond,hindu,100
GWA,Gwalior,0,GWA,Gwalior,,,Maratha Ideas,MAR_ideas,bundeli,hindu,100
JFN,Jaffna,0,JFN,Jaffna,,,South Indian Ideas,dravidian_ideas,tamil,hindu,100
JSL,Jaisalmer,0,JSL,Jaisalmer,,,Rajput Ideas,rajput_ideas,marwari,hindu,100
KGR,Kangra,0,KGR,Kangra,,,Kangra Ideas,KGR_ideas,kangri,hindu,100
KLH,Kalahandi,0,KLH,Kalahandi,,,Garjati Ideas,garjati_ideas,orissan,hindu,100
KSH,Kashmir,0,KSH,Kashmir,,,Indian Sultanate Ideas,indian_muslim_ideas,kashmiri_culture,,100
KUT,Kutch,0,KAT,Kutch,,,Gujarati Princedom Ideas,gujarati_ideas,sindhi,hindu,100
MEW,Mewar,0,MER,Mewar,,,Mewari Ideas,MER_ideas,mewari,hindu,100
MRW,Marwar,0,MAW,Marwar,,,Rajput Ideas,rajput_ideas,marwari,hindu,100
PTN,Patna,0,PTT,Patna,,,Garjati Ideas,garjati_ideas,orissan,hindu,100
RTP,Ratanpur,0,RTT,Ratanpur,,,Gond Ideas,central_indic_ideas,chhattisgarhi,hindu,100
SND,Sindh,0,SND,Sindh,,,Sindhi Ideas,SND_ideas,sindhi,shia,100
JLW,Jhalawad,5,JLV,Jhalavad,,,Gujarati Princedom Ideas,gujarati_ideas,gujarati,hindu,96
KJA,Keonjhar,0,KJH,Keonhjar,,,Garjati Ideas,garjati_ideas,chhattisgarhi,hindu,96
BGK,Bagelkhand,0,BGL,Baghelkhand,,,Vindhyan Ideas,vindhyan_ideas,bagheli,hindu,95
PDU,Cochin,1,KOC,Kochin,,,Malabari Ideas,malabari_ideas,malayali,hindu,93
KLT,Kolathanadu,1,KLT,Kolathunad,,,Malabari Ideas,malabari_ideas,malayali,hindu,89
RNP,Ranpur,5,RTT,Ratanpur,,,Gond Ideas,central_indic_ideas,gujarati,hindu,86
BHA,Bhatnir,0,BHA,Bharat,,,Bharathi Ideas,BHA_ideas,bagri,sunni,85
HAD,Bundi,0,HAD,Hadoti,,,Rajput Ideas,rajput_ideas,harauti,hindu,85
MAB,Mabar,0,MAB,Calicut,,,Malabari Ideas,malabari_ideas,haryanvi_culture,sunni,85
NAG,Nagar,0,NAG,Nagpur,,,Nagpuri Ideas,NAG_ideas,kashmiri_culture,,85
SRG,Saranghar,0,SRG,Surguja,,,Garjati Ideas,garjati_ideas,gond,koyapunem_religion,85
BSP,Bilaspur,0,BIJ,Bijapur,,,Deccani Sultanate Ideas,deccani_muslim_ideas,kangri,hindu,80
BWL,Beniwal,0,BNG,Bengal,,,Bengal Sultanate Ideas,BNG_ideas,bagri,,77
BGR,Bandhugara,6,YOR,Andhra,,,Telugu Ideas,telugu_ideas,marathi_culture,hindu,75
TNK,Pandya,5,PTT,Patna,,,Garjati Ideas,garjati_ideas,tamil,hindu,73
DGR,Bagar,0,BST,Bastar,,,Gond Ideas,central_indic_ideas,bhil,hindu,73
GDA,Godara,0,GDW,Garha,,,Gond Ideas,central_indic_ideas,bagri,,73
NRS,Narsinghpur,0,NAG,Nagpur,,,Nagpuri Ideas,NAG_ideas,orissan,hindu,71
PRT,Mandore,0,TNJ,Tanjore,,,South Indian Ideas,dravidian_ideas,marwari,hindu,71
PNA,Punia in Jangladesh,0,JAN,Jangladesh,,,Rajput Ideas,rajput_ideas,bagri,,69
BHD,Bhanvad,5,JLV,Jhalavad,,,Gujarati Princedom Ideas,gujarati_ideas,gujarati,hindu,67
GHL,Gohilvad,5,RMP,Rohilkhand,,,Indian Sultanate Ideas,indian_muslim_ideas,gujarati,hindu,67
BAD,Baudh,0,ODH,Oudh,,,Indian Sultanate Ideas,indian_muslim_ideas,orissan,hindu,67
CAB,Chamba,0,JAJ,Habsan,,,Siddi Ideas,JAJ_ideas,kangri,hindu,67
GOA,Goa,0,GRK,Gorkha,,,Nepalese Princedom Ideas,nepalese_minor_ideas,konkani,hindu,67
JLR,Jalor,0,GWA,Gwalior,,,Maratha Ideas,MAR_ideas,marwari,hindu,67
JWR,Jawhar,0,KAC,Kachar,,,Bengali Ideas,bengali_ideas,bhil,hindu,67
KHR,Kherla,0,KLN,Keladi,,,South Indian Ideas,dravidian_ideas,gond,hindu,67
KLI,Karauli,0,KLP,Kalpi,,,Indian Sultanate Ideas,indian_muslim_ideas,braji,hindu,67
KNK,Kanker,0,KGR,Kangra,,,Kangra Ideas,KGR_ideas,chhattisgarhi,hindu,67
NRP,Nurpur,0,MBL,Bishnupur,,,Bengali Ideas,bengali_ideas,kangri,hindu,67
SWT,Swat,0,MEW,Mewat,,,Indian Sultanate Ideas,indian_muslim_ideas,kashmiri_culture,sunni,67
KYA,Kottayam,1,CEY,Kotte,,,Sinhalese Ideas,CEY_ideas,malayali,hindu,65
RJI,Rajpipla,5,RJP,Rajputana,,,Rajputana ideas,RJP_ideas,gujarati,hindu,62
ELA,Elayadathu,1,LDK,Ladakh,,,Ladakh Ideas,LDK_ideas,malayali,hindu,62
KTN,Kuttanad,1,KND,Kandy,,,Sinhalese Ideas,CEY_ideas,malayali,hindu,62
DRW,Dadrewa,0,MAW,Marwar,,,Rajput Ideas,rajput_ideas,bagri,,62
HNZ,Hunza,0,DHU,Dhundhar,,,Dhundhari Ideas,DHU_ideas,kashmiri_culture,shia,62
KTL,Kutlehar,0,KJH,Keonhjar,,,Garjati Ideas,garjati_ideas,kangri,hindu,62
RJR,Rajouri,0,RJK,Rajkot,,,Gujarati Princedom Ideas,gujarati_ideas,kashmiri_culture,sunni,62
SHR,Saharan,0,KAC,Kachar,,,Bengali Ideas,bengali_ideas,shekhawati,hindu,62
STR,Santara,0,BST,Bastar,,,Gond Ideas,central_indic_ideas,tuluva,jain,62
ALU,Alupa,0,KLP,Kalpi,,,Indian Sultanate Ideas,indian_muslim_ideas,tuluva,hindu,60
