culture,age,advance,modifier(s)
chu_culture,age_2_renaissance,east_china_chu_culture_1,monthly_legitimacy=0.10
chu_culture,age_4_reformation,east_china_chu_culture_2,global_trade_through_owned_territory_efficiency=0.1
fuzhou_culture,age_2_renaissance,east_china_fuzhou_culture_1,global_burghers_city_desired_pop=0.05
fuzhou_culture,age_4_reformation,east_china_fuzhou_culture_2,global_merchant_capacity_modifier=0.10
gan_culture,age_2_renaissance,east_china_gan_culture_1,nobles_estate_target_satisfaction=small_permanent_target_satisfaction
gan_culture,age_4_reformation,east_china_gan_culture_2,merchant_maintenance_efficiency=0.10
jianghuai_culture,age_2_renaissance,east_china_jianghuai_culture_1,global_clergy_max_literacy=5
jianghuai_culture,age_4_reformation,east_china_jianghuai_culture_2,global_monthly_food_modifier=0.10
jiaodong_culture,age_2_renaissance,north_china_jiaodong_culture_1,global_nobles_max_literacy=5
jiaodong_culture,age_4_reformation,north_china_jiaodong_culture_2,global_life_expectancy=3
jilu_culture,age_2_renaissance,north_china_jilu_culture_1,country_cabinet_efficiency=0.10
jilu_culture,age_4_reformation,north_china_jilu_culture_2,global_trade_center_power=0.05
jin_culture,age_2_renaissance,west_china_jin_culture_1,global_manpower_modifier=0.05
jin_culture,age_4_reformation,west_china_jin_culture_2,global_clergy_desired_pop=0.01
kejia_culture,age_1_traditions,east_china_kejia_culture_1,global_max_rgo_size_modifier_in_non_rural=0.10
kejia_culture,age_3_discovery,east_china_kejia_culture_2,global_merchant_power=0.10
leizhou_culture,age_2_renaissance,south_china_leizhou_culture_1,trade_range_modifier=0.20
leizhou_culture,age_4_reformation,south_china_leizhou_culture_2,global_sailors_modifier=0.075
liang_culture,age_1_traditions,west_china_liang_culture_1,global_peasants_max_literacy=5
liang_culture,age_3_discovery,west_china_liang_culture_2,fort_limit_modifier=0.10
qin_culture,age_1_traditions,west_china_qin_culture_1,monthly_devotion=0.10
qin_culture,age_3_discovery,west_china_qin_culture_2,global_max_rgo_size_modifier_in_rural=0.10
shu_culture,age_2_renaissance,west_china_shu_culture_1,peasants_estate_target_satisfaction=0.05
shu_culture,age_4_reformation,west_china_shu_culture_2,global_max_rgo_size_modifier=0.05
tiazhou_culture,age_1_traditions,east_china_tiazhou_culture_1,global_clergy_city_desired_pop=0.05
tiazhou_culture,age_3_discovery,east_china_tiazhou_culture_2,global_road_building_time=-0.10
tujia_culture,age_1_traditions,east_china_tujia_culture_1,peasants_estate_max_tax=0.05
tujia_culture,age_3_discovery,east_china_tujia_culture_2,city_upgrade_cost_modifier=-0.10
wu_culture,age_2_renaissance,east_china_wu_culture_1,own_coast_naval_combat_bonus=0.10
wu_culture,age_4_reformation,east_china_wu_culture_2,monthly_republican_tradition=0.10
xinxiang_culture,age_1_traditions,east_china_xinxiang_culture_1,global_trades_per_burgher=0.10
xinxiang_culture,age_3_discovery,east_china_xinxiang_culture_2,selling_efficiency=small_trade_efficiency_bonus
yan_culture,age_1_traditions,north_china_yan_culture_1,tax_income_efficiency=small_tax_income_efficiency_bonus
yan_culture,age_3_discovery,north_china_yan_culture_2,global_distance_from_capital_speed_propagation=0.05
yao_culture,age_2_renaissance,south_china_yao_culture_1,clergy_estate_target_satisfaction=small_permanent_target_satisfaction
yao_culture,age_4_reformation,south_china_yao_culture_2,global_lumber_output_modifier=0.10
yi_culture,age_1_traditions,south_china_yi_culture_1,global_soldiers_desired_pop=0.05
yi_culture,age_3_discovery,south_china_yi_culture_2,global_monthly_food_modifier=0.10
yuehai_culture,age_1_traditions,south_china_yuehai_culture_1,burghers_estate_max_tax=0.05
yuehai_culture,age_3_discovery,south_china_yuehai_culture_2,global_maritime_presence_modifier=0.10
zhongyuan_culture,age_1_traditions,north_china_zhongyuan_culture_1,global_burghers_max_literacy=5
zhongyuan_culture,age_3_discovery,north_china_zhongyuan_culture_2,global_build_buildings_efficiency=0.05
zhuang_culture,age_1_traditions,south_china_zhuang_culture_1,nobles_estate_max_tax=0.05
zhuang_culture,age_3_discovery,south_china_zhuang_culture_2,import_efficiency=small_trade_efficiency_bonus
