tag(s),,age,advance name,modifier(s)
CFN,,age_1_traditions,village_confederation_charter,burghers_estate_max_tax=0.05; global_burghers_estate_power=-0.10; nobles_estate_max_tax=0.05; global_nobles_estate_power=-0.10
CFN,,age_2_renaissance,local_landholder_pacts,global_estate_target_satisfaction=0.05
CFN,,age_2_renaissance,terrace_restoration_bureaus,global_max_rgo_size_modifier_in_non_rural=0.50
CFN,,age_3_discovery,field_census_commission,global_copper_output_modifier=0.10; global_tin_output_modifier=0.10; global_stone_output_modifier=0.10; global_iron_output_modifier=0.10
CFN,,age_3_discovery,people_granary_circuit,global_labourers_city_desired_pop=0.500; global_labourers_rural_desired_pop=0.200
CFN,,age_4_reformation,famine_and_plague_offices,global_life_expectancy=3; global_disease_resistance=0.10
CFN,,age_4_reformation,township_ledger_bureau,global_monthly_prosperity=0.001
CFN,,age_5_absolutism,peasant_mobility_charter,global_migration_speed_modifier=0.10; non_rural_migration_attraction=0.10
CFN,,age_6_revolutions,granary_high_commission,global_supply_limit_modifier=0.20
CGU,,age_1_traditions,aristocratic_assembly_charter,court_spending_efficiency=0.10; nobles_estate_levy_size=0.25
CGU,,age_2_renaissance,grand_river_exchange,global_merchant_capacity_modifier=0.25
CGU,,age_2_renaissance,prefectural_grain_ledgers,global_monthly_control=0.003
CGU,,age_3_discovery,court_of_noble_envoys,monthly_diplomats=0.10; unlock_subject_type=march
CGU,,age_3_discovery,jiangnan_canal_markets,global_nobles_city_desired_pop=0.020; global_nobles_rural_desired_pop=0.005; global_soldiers_city_desired_pop=0.250; global_soldiers_rural_desired_pop=0.100
CGU,,age_4_reformation,court_ritual_ordinances,global_estate_max_tax=0.10
CGU,,age_4_reformation,transit_levy_charters,discipline=0.025; army_tradition=0.10
CGU,,age_5_absolutism,high_revenue_tribunal,artillery_bonus_vs_fort=1
CGU,,age_6_revolutions,grand_canal_state_office,government_size=1
CHE,,age_1_traditions,humanistic_synod,global_pop_conversion_speed_modifier=0.15; army_heavy_infantry_power=0.10
CHE,,age_2_renaissance,land_circuit_mission_bureaus,flatland_proximity_impact=-0.30
CHE,,age_2_renaissance,rites_of_common_harmony,tolerance_own=2
CHE,,age_3_discovery,canonical_militia_registry,army_light_infantry_power=0.10
CHE,,age_3_discovery,cult_of_many_customs,cultures_capacity=2
CHE,,age_4_reformation,frontier_cultural_accord,global_max_control=0.05
CHE,,age_4_reformation,land_relay_sanctuaries,global_rice_output_modifier=0.10; global_food_output_modifier=0.10
CHE,,age_5_absolutism,cannon_scripture_colleges,army_artillery_power=0.10
CHE,,age_6_revolutions,heavenly_siege_office,artillery_bonus_vs_fort=1
CHU,,age_1_traditions,imperial_mint_conscription_rolls,minting_income_factor=0.10; global_manpower_modifier=0.15
CHU,,age_2_renaissance,gold_silver_assay_board,global_goods_gold_output_modifier=0.10; global_silver_output_modifier=0.15
CHU,,age_2_renaissance,imperial_jewelry_monopoly,global_jewelry_output_modifier=0.10
CHU,,age_3_discovery,campaign_pay_chancery,army_maintenance_efficiency=0.10
CHU,,age_3_discovery,iron_and_coal_foundries,global_iron_output_modifier=0.15; global_coal_output_modifier=0.15
CHU,,age_4_reformation,treasury_stabilization_edicts,monthly_inflation=-0.001
CHU,,age_4_reformation,veteran_drill_statutes,experience_decay=-0.01; monthly_experience_gain=0.10
CHU,,age_5_absolutism,frontier_logistics_commands,possible_frontage_modifier=0.10
CHU,,age_6_revolutions,metropolitan_mint_bureaus,minting_income_factor=0.10
CNP,,age_1_traditions,frontier_learning_halls,global_migration_speed_modifier=0.10; global_pop_assimilation_speed_modifier=0.10
CNP,,age_2_renaissance,hill_town_privileges,non_rural_migration_attraction=0.15
CNP,,age_2_renaissance,settlement_promotion,global_pop_promotion_speed_modifier=0.10
CNP,,age_3_discovery,irrigation_works,global_construction_speed=0.10
CNP,,age_3_discovery,mountain_post_roads,global_road_building_time=-0.10
CNP,,age_4_reformation,emergency_relays,movement_speed_if_no_road=0.10
CNP,,age_4_reformation,ridgeway_engineering,build_paved_road_cost_modifier=-0.10
CNP,,age_5_absolutism,non_rural_market_policy,global_max_rgo_size_modifier_in_non_rural=0.10
CNP,,age_6_revolutions,frontier_roads_bureau,land_unit_attrition=-0.20
CTW,,age_1_traditions,clerical_construction_communes,global_build_buildings_efficiency=0.10; global_monthly_prosperity=0.001
CTW,,age_2_renaissance,inland_relay_charters,road_cost_on_distance_from_capital=-2
CTW,,age_2_renaissance,levy_harmony_ordinance,levy_combat_efficiency_modifier=0.10; global_levy_size_modifier=0.25
CTW,,age_3_discovery,development_circuit,global_monthly_development=0.001
CTW,,age_3_discovery,temple_literacy_scholarships,global_max_literacy=0.10
CTW,,age_4_reformation,estate_harmony_network,combined_bonus_per_type=0.01
CTW,,age_4_reformation,sanctuary_public_health,global_disease_resistance=0.10; global_population_growth=0.0002
CTW,,age_5_absolutism,border_sanctuary_zones,global_hostile_attrition=1
CTW,,age_6_revolutions,supreme_ritual_secretariat,global_estate_satisfaction_recovery=0.002
