tag(s),,age,advance name,modifier(s)
ANX,,age_1_traditions,siege_engineer_bureaus,naval_damage_taken=-0.10; fort_maintenance_efficiency=-0.10
ANX,,age_2_renaissance,pike_border_regiments,army_maintenance_efficiency=0.10
ANX,,age_3_discovery,frontier_garrison_grids,global_prosperity_decay=-0.01
ANX,,age_4_reformation,red_cannon_offices,assault_ability=0.1; artillery_bonus_vs_fort=1
ANX,,age_5_absolutism,green_standard_banners,minting_income_factor=0.10
ANX,,age_6_revolutions,border_command_reforms,army_maintenance_efficiency=0.10
"ANX,SAI",,age_2_renaissance,mobile_column_doctrine,military_tactics=0.10
"ANX,SAI",,age_3_discovery,southern_campaign_staff,land_unit_attrition=-0.20
"ANX,SAI",,age_4_reformation,military_parades,monthly_army_tradition=0.10
AYG,,age_1_traditions,confucian_influences,stability_cost_efficiency=0.15; cabinet_efficiency=0.15
AYG,,age_2_renaissance,lijia_tallies,levy_combat_efficiency_modifier=0.20
AYG,,age_2_renaissance,weisuo_reserves,nobles_estate_levy_size=0.75
AYG,,age_3_discovery,imperial_censorate,court_spending_efficiency=0.20
AYG,,age_3_discovery,levy_supply_monopoly,levy_maintenance_modifier=-0.10; levy_recovery_modifier=0.10
AYG,,age_4_reformation,courtly_patronage,monthly_prestige=0.10
AYG,,age_4_reformation,secretariat_reconstruction,legislative_efficiency=0.10
AYG,,age_5_absolutism,late_artillery_bureau,army_artillery_power=0.10
AYG,,age_6_revolutions,state_secretariat,government_reform_slots=1
CMO,,age_1_traditions,river_flotilla_guilds,navy_galley_build_cost_modifier=-0.20; navy_galley_maintenance_cost_modifier=-0.20
CMO,,age_2_renaissance,communal_land_registers,global_monthly_prosperity=0.001
CMO,,age_2_renaissance,urban_charter_workshops,city_upgrade_cost_modifier=-0.15
CMO,,age_3_discovery,county_workshop_quotas,global_production_efficiency=medium_production_efficiency_bonus
CMO,,age_3_discovery,river_marine_drills,navy_initiative=0.10; ship_capture_chance=0.05
CMO,,age_4_reformation,prefectural_exam_circuit,government_size=1
CMO,,age_4_reformation,silver_bookkeeping_bureaus,monthly_inflation=-0.001
CMO,,age_5_absolutism,admiralty_merit_office,monthly_navy_tradition=0.20
CMO,,age_6_revolutions,central_audit_secretariat,global_max_literacy=10
CSO,,age_1_traditions,baihua_script,global_urban_build_buildings_efficiency=0.10; global_masonry_output_modifier=0.20
CSO,,age_2_renaissance,tributary_bureau,global_migration_speed_modifier=0.10
CSO,,age_2_renaissance,zhaju_theatres,monthly_war_exhaustion=-0.02
CSO,,age_3_discovery,auxiliary_musters,possible_frontage_modifier=0.10
CSO,,age_3_discovery,tea_trade_companies,global_integration_speed_modifier=0.10; global_annexation_cost_modifier=-0.10
CSO,,age_4_reformation,silver_coinage,global_manpower_modifier=0.20
CSO,,age_4_reformation,wall_garrison_circuit,experience_decay=-0.01
CSO,,age_5_absolutism,porcelain_commission,global_lacquerware_output_modifier=0.20; global_pottery_output_modifier=0.20
CSO,,age_6_revolutions,grand_transport_office,global_trade_through_owned_territory_efficiency=0.20
KHA,,age_1_traditions,horse_lords,army_light_cavalry_power=0.10; army_heavy_cavalry_power=0.10
KHA,,age_2_renaissance,no_grass_campaigns,movement_speed_if_no_road=0.20
KHA,,age_2_renaissance,remount_logistics,army_reinforce_efficiency=0.10
KHA,,age_3_discovery,caravan_wing_ordinances,selling_efficiency=small_trade_efficiency_bonus; export_efficiency=small_trade_efficiency_bonus
KHA,,age_3_discovery,horde_loot_banners,slave_raid_efficiency=0.20; amount_looted_modifier=1
KHA,,age_4_reformation,silk_road_watchers,diplomatic_capacity=1
KHA,,age_4_reformation,steppe_reinforcement_chain,discipline=0.025; land_morale_modifier=0.05
KHA,,age_5_absolutism,magnanimous_khanate,cultures_capacity=2
KHA,,age_6_revolutions,steppe_state_relays,movement_speed_if_no_road=0.20
SAI,,age_1_traditions,taihang_fortresses,fort_limit_modifier=0.20; global_hostile_attrition=1
SAI,,age_2_renaissance,border_defense_council,army_heavy_cavalry_power=0.10
SAI,,age_3_discovery,tusi_hostage_registers,global_integration_speed_modifier=0.20
SAI,,age_4_reformation,nine_pass_garrisons,discipline=0.025; army_initiative=0.10
SAI,,age_5_absolutism,campaign_chancellery,tax_income_efficiency=large_tax_income_efficiency_bonus
SAI,,age_6_revolutions,frontier_general_secretariat,num_local_governors=1
SHD,,age_1_traditions,mercenary_contract_societies,hire_mercenary_premium_cost_modifier=-0.10; mercenary_maintenance_efficiency=0.10
SHD,,age_2_renaissance,metal_type_printing,global_monthly_literacy=0.01
SHD,,age_2_renaissance,port_merchants,trade_land_efficiency=medium_trade_land_efficiency_bonus
SHD,,age_3_discovery,hyanyak_compendia,global_raw_material_output=0.1
SHD,,age_3_discovery,prefecture_grand_code,global_mercenaries_modifier=0.25
SHD,,age_4_reformation,frontier_gunnery,army_artillery_power=0.1
SHD,,age_4_reformation,hopae_registry,global_pop_assimilation_speed_modifier=0.20
SHD,,age_5_absolutism,daedong_revenue_reform,tax_income_efficiency=large_tax_income_efficiency_bonus
SHD,,age_6_revolutions,maritime_fiscal_high_board,global_mercenaries_modifier=0.50
YUA,,age_1_traditions,start,army_light_cavalry_power=0.20; government_size=1
YUA,,age_2_renaissance,a_savage_kingdom_holy_and_enchanted,stability_cost_efficiency=0.20
YUA,,age_2_renaissance,da_zai_qian_yuan,global_integration_speed_modifier=0.20
YUA,,age_3_discovery,keshik_and_weijun,land_morale_modifier=0.10
YUA,,age_3_discovery,the_three_teachings_and_nine_schools_respected,global_monthly_literacy=0.01
YUA,,age_4_reformation,a_thousand_miles_as_if_at_home,army_movement_speed=0.10
YUA,,age_4_reformation,sino_mongol_administration,num_local_governors=1
YUA,,age_5_absolutism,pax_mongolica,global_production_efficiency=large_production_efficiency_bonus
YUA,,age_6_revolutions,bonus,government_reform_slots=1
