tag(s),,age,advance name,modifier(s)
CDN,,age_1_traditions,guild_ledgers,global_urban_build_buildings_efficiency=0.10; global_production_efficiency=0.10
CDN,,age_2_renaissance,market_registers,court_spending_efficiency=0.10
CDN,,age_2_renaissance,mint_houses,minting_income_factor=0.10
CDN,,age_3_discovery,delta_exchange,global_merchant_power=0.10
CDN,,age_3_discovery,port_monopolies,foreign_export_from_market_efficiency=0.10
CDN,,age_4_reformation,bureau_reorganization,legislative_efficiency=0.10
CDN,,age_4_reformation,internal_trade_routes,global_trade_through_owned_territory_efficiency=0.10
CDN,,age_5_absolutism,workshop_state,global_production_efficiency=0.10
CDN,,age_6_revolutions,commercial_grand_secretariat,country_cabinet_efficiency=0.20
LEZ,,age_1_traditions,diplomatic_corps,annexation_speed_modifier=0.10; monthly_diplomats=0.10
LEZ,,age_2_renaissance,dockyard_musters,global_sailors_modifier=0.10
LEZ,,age_2_renaissance,salt_convoys,trade_range_modifier=0.15
LEZ,,age_3_discovery,customs_network,global_trade_center_power=0.10
LEZ,,age_3_discovery,delta_patrols,naval_morale_modifier=0.10
LEZ,,age_4_reformation,maritime_brokers,import_efficiency=medium_trade_efficiency_bonus
LEZ,,age_4_reformation,sea_lanes_command,global_maritime_presence_modifier=0.10
LEZ,,age_5_absolutism,strait_supremacy,own_coast_naval_combat_bonus=0.10
LEZ,,age_6_revolutions,maritime_state_registry,global_merchant_capacity_modifier=0.25
LNG,,age_1_traditions,frontier_hosts,global_manpower_modifier=0.10; regiment_recruit_speed=0.10
LNG,,age_2_renaissance,quick_levies,regiment_recruit_speed=0.10
LNG,,age_2_renaissance,veteran_recovery,regiment_reinforcement_speed=0.10
LNG,,age_3_discovery,drilled_infantry,army_heavy_infantry_power=0.10
LNG,,age_3_discovery,siege_mastery,artillery_bonus_vs_fort=1
LNG,,age_4_reformation,bombard_corps,army_artillery_power=0.10
LNG,,age_4_reformation,campaign_treasury,tax_income_efficiency=medium_tax_income_efficiency_bonus
LNG,,age_5_absolutism,decisive_campaigns,global_war_score_efficiency=0.10
LNG,,age_6_revolutions,general_staff_ministry,army_maintenance_efficiency=0.10
MNE,,age_1_traditions,hill_oaths,movement_speed_if_no_road=0.10; land_unit_attrition=-0.10
MNE,,age_2_renaissance,clan_musters,army_light_infantry_power=0.10
MNE,,age_2_renaissance,valley_granaries,global_supply_limit_modifier=0.10
MNE,,age_3_discovery,frontier_paths,global_distance_from_capital_speed_propagation=0.10
MNE,,age_3_discovery,mountain_warfare,land_unit_attrition=-0.10
MNE,,age_4_reformation,fortified_passes,fort_maintenance_efficiency=0.10
MNE,,age_4_reformation,upland_compacts,global_max_rural_control=0.10
MNE,,age_5_absolutism,bleeding_frontier,global_hostile_attrition=1
MNE,,age_6_revolutions,upland_royal_commission,global_max_rural_control=0.10
