tag(s),,age,advance name,modifier(s)
BIG,,age_1_traditions,war_chaplains,global_soldiers_desired_pop=0.01; monthly_army_tradition=0.10
BIG,,age_2_renaissance,garrison_vows,fort_limit_modifier=0.20
BIG,,age_2_renaissance,iron_phalanxes,army_heavy_infantry_power=0.15
BIG,,age_3_discovery,holy_counterbattery,global_manpower_modifier=0.10
BIG,,age_3_discovery,sacred_bastions,global_iron_output_modifier=0.15; global_copper_output_modifier=0.15
BIG,,age_4_reformation,liturgies_of_war,land_morale=0.20
BIG,,age_4_reformation,restoration_battalions,global_war_score_efficiency=0.10
BIG,,age_5_absolutism,final_crusade,global_pop_conversion_speed_modifier=0.20
BIG,,age_6_revolutions,military_synod,army_maintenance_efficiency=0.10
CSI,,age_1_traditions,canonical_authority,monthly_devotion=0.10; tolerance_own=1
CSI,,age_2_renaissance,temple_land_registry,global_clergy_desired_pop=0.010; global_soldiers_desired_pop=0.075
CSI,,age_2_renaissance,war_theology,military_tactics=0.10
CSI,,age_3_discovery,monastic_estates,global_clergy_desired_pop=0.01
CSI,,age_3_discovery,pilgrim_patronage,global_pop_assimilation_speed_modifier=0.10
CSI,,age_4_reformation,relic_chancery,stability_cost_efficiency=0.20
CSI,,age_4_reformation,sacred_war_council,monthly_army_tradition=0.10
CSI,,age_5_absolutism,consecrated_realm,tolerance_own=2
CSI,,age_6_revolutions,patriarchal_high_court,global_pop_conversion_speed_modifier=0.25
CXI,,age_1_traditions,civic_covenant,monthly_republican_tradition=0.10; cabinet_efficiency=0.10
CXI,,age_2_renaissance,land_and_market_assessors,global_estate_max_tax=0.5
CXI,,age_2_renaissance,militia_field_drills,levy_combat_efficiency_modifier=0.20
CXI,,age_3_discovery,frontier_watchtowers,fort_limit_modifier=0.20
CXI,,age_3_discovery,mountain_courier_roads,road_cost_on_distance_from_capital=-1
CXI,,age_4_reformation,communal_prosperity_ledger,global_monthly_prosperity=0.001
CXI,,age_4_reformation,terrace_harvest_system,global_monthly_food_modifier=0.20
CXI,,age_5_absolutism,emergency_council_mandate,global_crown_estate_power=0.30
CXI,,age_6_revolutions,republican_state_archives,government_reform_slots=1
GNS,,age_1_traditions,corridor_raiders,army_heavy_cavalry_power=0.10; army_light_cavalry_power=0.10
GNS,,age_2_renaissance,silk_road_tolls,amount_looted_modifier=1
GNS,,age_2_renaissance,yam_outposts,army_maintenance_efficiency=0.10
GNS,,age_3_discovery,caravan_overwatch,trade_land_efficiency=medium_trade_land_efficiency_bonus
GNS,,age_3_discovery,hard_marches,food_consumption_modifier=-0.20
GNS,,age_4_reformation,hostage_oaths,global_integration_speed_modifier=0.20
GNS,,age_4_reformation,logistics_of_the_frontier,land_unit_attrition=-0.20
GNS,,age_5_absolutism,steppe_mosaic,cultures_capacity=2
GNS,,age_6_revolutions,frontier_horde_chancery,global_integration_speed_modifier=0.20
HNG,,age_1_traditions,court_ritual_legitimacy,monthly_legitimacy=0.10; stability_cost_efficiency=0.10
HNG,,age_2_renaissance,grand_secretariat_council,country_cabinet_efficiency=0.20
HNG,,age_2_renaissance,topographic_exam_survey,mountains_proximity_impact=-0.45; plateau_proximity_impact=-0.25; hill_proximity_impact=-0.30
HNG,,age_3_discovery,inland_tax_granaries,tax_income_efficiency=large_tax_income_efficiency_bonus
HNG,,age_3_discovery,jiangnan_bureau_expansion,government_size=1
HNG,,age_4_reformation,fiscal_audit_edicts,monthly_inflation=-0.001
HNG,,age_4_reformation,metropolitan_workshop_reforms,global_production_efficiency=large_production_efficiency_bonus
HNG,,age_5_absolutism,imperial_gun_foundries,army_artillery_power=0.15
HNG,,age_6_revolutions,grand_censorate_registry,government_size=1
