tag,age,advance name,modifiers
STN,age_4_reformation,stn_silk_route_hubs,own_coast_naval_combat_bonus = 0.10; navy_maintenance_efficiency = 0.10
STN,age_4_reformation,stn_foreign_merchant_quarters,global_production_efficiency = small_production_efficiency_bonus
STN,age_3_discovery,stn_river_guard_regiments,naval_range = 150; sea_cost_on_distance_from_capital_when_maritime = -0.10
STN,age_3_discovery,stn_grey_cloth_courts,global_cloth_output_modifier = 0.12; global_trade_center_power = 0.05
STN,age_3_discovery,stn_bengali_ships,heavy_ship_power = 0.10
STN,age_2_renaissance,stn_merchant_houses,global_merchant_capacity_modifier = 0.35
STN,age_2_renaissance,stn_floodplain_surveys,global_population_capacity_modifier = 0.10
STN,age_2_renaissance,stn_bengal_shipwrights,ship_build_speed = 0.10; navy_maintenance_efficiency = 0.10
STN,age_1_traditions,stn_textile_wharfage,global_cloth_output_modifier = 0.25
STN,age_1_traditions,stn_river_port_dues,global_distance_from_capital_speed_propagation = 0.1
STN,age_1_traditions,stn_luxuriuous_textile_wharfage,global_fine_cloth_output_modifier = 0.20
SND,age_4_reformation,snd_dabih_port_reforms,merchant_maintenance_efficiency = 0.10; trade_income = 0.10
SND,age_4_reformation,snd_akhund_bazaar_charters,trade_range_modifier = 0.25; court_spending_efficiency = 0.10
SND,age_3_discovery,snd_thatta_architectural_revival,global_urban_build_buildings_efficiency = 0.10
SND,age_3_discovery,snd_somra_steel_forges,global_production_efficiency = medium_production_efficiency_bonus
SND,age_3_discovery,snd_indus_stoicism,global_hostile_attrition = 1
SND,age_2_renaissance,snd_thatta_necropolis,global_estate_target_satisfaction = small_permanent_target_satisfaction
SND,age_2_renaissance,snd_riverine_mercenary_families,army_heavy_infantry_power = 0.15; army_light_infantry_power = 0.15
SND,age_2_renaissance,snd_habbari_mint_reforms,monthly_inflation = -0.002
SND,age_1_traditions,snd_sindhi_mariner_techniques,naval_damage_taken = -0.10
SND,age_1_traditions,snd_indus_canal_infrastructure,global_max_rgo_size_modifier = 0.20
SND,age_1_traditions,snd_arab_conquest_harbour,global_manpower_modifier = 0.10; global_sailors_modifier = 0.10
RJP,age_6_revolutions,rjp_last_stand,army_movement_speed = 0.15
RJP,age_6_revolutions,rjp_consolidation_of_power,subject_loyalty = 0.10; estate_target_satisfaction = 0.05
RJP,age_5_absolutism,rjp_imperial_ambitions,army_tradition_from_battles = 0.25; mercenary_cost = -0.10
RJP,age_5_absolutism,rjp_deccan_dominance,diplomatic_range_modifier = 0.20
RJP,age_4_reformation,rjp_siege_mastery,fort_assault_bonus = 0.15; siege_ability = 0.10
RJP,age_4_reformation,rjp_military_administration,war_exhaustion = -0.05; vassal_income = 0.20
RJP,age_3_discovery,rjp_sultanate_expansion,aggressive_expansion_impact = -0.10; global_integration_speed_modifier = 0.15
RJP,age_3_discovery,rjp_cavalry_raids,army_movement_speed = 0.10; supply_limit_modifier = 0.10
PUN,age_4_reformation,pun_sikh_guru_patronage,global_crown_estate_power = 0.15
PUN,age_4_reformation,pun_northern_cavalry_reforms,army_heavy_cavalry_power = 0.10; army_light_cavalry_power = 0.10
PUN,age_3_discovery,pun_frontier_duab_forts,fort_limit = 0.20
PUN,age_3_discovery,pun_delhi_diplomatic_circles,monthly_diplomats = 0.10
PUN,age_3_discovery,pun_cratsmanship,global_max_rgo_size_modifier = 0.10
PUN,age_2_renaissance,pun_sufi_bazaar_licences,global_trade_center_power = 0.10
PUN,age_2_renaissance,pun_langah_administrative_reforms,parliament_base_support = 0.15
PUN,age_2_renaissance,pun_hindu_shahi_guardposts,land_unit_attrition = -0.10; global_hostile_attrition = 0.50
PUN,age_1_traditions,pun_jaishi_levies,global_levy_size_modifier = 0.20
PUN,age_1_traditions,pun_floodplain_granaries,is_village = yes; local_monthly_development_modifier = 0.10; local_monthly_prosperity_modifier = 0.10
PUN,age_1_traditions,pun_breadbasket_of_india,global_monthly_food_modifier = 0.20
PIN,age_6_revolutions,pin_imperial_legacy,trade_land_efficiency = medium_trade_land_efficiency_bonus
PIN,age_6_revolutions,pin_burmese_stability,monthly_inflation = -0.001
PIN,age_5_absolutism,pin_konbaung_economy,global_production_efficiency = medium_production_efficiency_bonus
PIN,age_5_absolutism,pin_imperial_admin,global_estate_target_satisfaction = medium_permanent_target_satisfaction
PIN,age_4_reformation,pin_centralized_rule,global_unrest = -0.10; vassal_income = 0.15
PIN,age_4_reformation,pin_administrative_reforms,cultures_capacity = 1
PIN,age_3_discovery,pin_royal_bureaucracy,government_size = 1
PIN,age_3_discovery,pin_inland_trade,global_max_urban_control = 0.05
PIN,age_1_traditions,pin_martial_tradition,militarty_tactics = 0.10
PIN,age_1_traditions,pin_ava_conquest,army_maintenance_efficiency = 0.10; army_reinforce_efficiency = 0.10
MYS,age_4_reformation,mys_palace_fortification,global_defensive = 0.20
MYS,age_4_reformation,mys_mysorean_logistics,army_maintenance_efficiency = 0.10
MYS,age_3_discovery,mys_dharma_councils,government_size = 1
MYS,age_3_discovery,mys_coastal_outfitters,global_build_buildings_cost = -0.10
MYS,age_3_discovery,mys_channapatna_arms,army_light_infantry_power = 0.10; army_artillery_power = 0.10
MYS,age_2_renaissance,mys_taluk_revenue_surveys,global_estate_max_tax = 0.10
MYS,age_2_renaissance,mys_state_garment_guilds,global_fine_cloth_output_modifier = 0.10; global_silk_output_modifier = 0.10
MYS,age_2_renaissance,mys_iron_forges,global_iron_output_modifier = 0.15; global_tools_output_modifier = 0.10
MYS,age_1_traditions,mys_rice_terraces,global_population_capacity_modifier = 0.10
MYS,age_1_traditions,mys_regimental_horse_traditions,army_initiative = 0.1
MYS,age_1_traditions,mys_gopura_masons,global_masonry_output_modifier = 0.20
MWR,age_4_reformation,mwr_udaipur_lake_city_foundation,global_manpower_modifier = 0.15
MWR,age_4_reformation,mwr_sisodia_scholarly_tradition,gender_equality = yes
MWR,age_4_reformation,mwr_aravalli_resource_stewardship,global_production_efficiency = medium_production_efficiency_bonus
MWR,age_3_discovery,mwr_ranakpur_jain_hindu_syncretism,tolerance_heretic = 1; tolerance_heathen = 1
MWR,age_3_discovery,mwr_mewar_arts_florescence,diplomatic_annexation_cost = -0.20
MWR,age_3_discovery,mwr_kumbhalgarh_terrain_administration,diplomatic_capacity = 1; counter_espionage = 0.2
MWR,age_2_renaissance,mwr_vijay_stambha_commemoration,global_masonry_output_modifier = 0.20
MWR,age_2_renaissance,mwr_kumbha_court_patronage,stability_cost = -0.10; global_crown_estate_power = 0.10
MWR,age_2_renaissance,mwr_aravalli_distillation_techniques,food_consumption_modifier = -0.10
MWR,age_1_traditions,mwr_zawar_copper_legacy,global_copper_output_modifier = 0.30
